Draw,  Value
1, 10
2, 8
3, 2
4, 17
5, 1
6, 6
7, 4
8, 13
9, 6
10, 4
11, 4
12, 2
13, 0
14, 6
15, 1
16, 4
17, 18
18, 8
19, 12
20, 6
21, 18
22, 11
23, 22
24, 4
25, 5
26, 4
27, 22
28, 2
29, 43
30, 3
31, 1
32, 20
33, 5
34, 3
35, 2
36, 21
37, 1
38, 16
39, 0
40, 15
41, 2
42, 10
43, 5
44, 1
45, 6
46, 3
47, 9
48, 8
49, 9
50, 4
51, 8
52, 18
53, 1
54, 16
55, 15
56, 5
57, 5
58, 4
59, 8
60, 4
61, 7
62, 1
63, 2
64, 3
65, 1
66, 17
67, 1
68, 5
69, 0
70, 2
71, 3
72, 3
73, 4
74, 17
75, 3
76, 1
77, 10
78, 4
79, 7
80, 9
81, 3
82, 12
83, 14
84, 5
85, 12
86, 3
87, 5
88, 3
89, 28
90, 23
91, 27
92, 12
93, 0
94, 1
95, 6
96, 16
97, 6
98, 13
99, 4
100, 6
101, 8
102, 10
103, 7
104, 0
105, 7
106, 8
107, 5
108, 2
109, 9
110, 4
111, 6
112, 1
113, 14
114, 11
115, 7
116, 11
117, 4
118, 22
119, 1
120, 1
121, 2
122, 8
123, 14
124, 8
125, 15
126, 1
127, 4
128, 15
129, 6
130, 30
131, 10
132, 11
133, 17
134, 0
135, 26
136, 5
137, 3
138, 11
139, 3
140, 1
141, 1
142, 2
143, 4
144, 13
145, 6
146, 6
147, 5
148, 12
149, 3
150, 3
151, 3
152, 20
153, 11
154, 10
155, 6
156, 9
157, 19
158, 7
159, 8
160, 3
161, 2
162, 7
163, 0
164, 11
165, 10
166, 1
167, 2
168, 4
169, 3
170, 14
171, 6
172, 16
173, 11
174, 19
175, 0
176, 10
177, 5
178, 1
179, 1
180, 6
181, 6
182, 3
183, 3
184, 8
185, 10
186, 5
187, 7
188, 9
189, 9
190, 5
191, 14
192, 5
193, 21
194, 14
195, 8
196, 0
197, 3
198, 10
199, 9
200, 4
201, 7
202, 1
203, 1
204, 4
205, 12
206, 6
207, 0
208, 4
209, 10
210, 9
211, 9
212, 5
213, 4
214, 14
215, 3
216, 3
217, 5
218, 3
219, 23
220, 2
221, 9
222, 12
223, 3
224, 5
225, 14
226, 1
227, 17
228, 4
229, 9
230, 4
231, 2
232, 2
233, 4
234, 1
235, 14
236, 9
237, 1
238, 3
239, 4
240, 6
241, 2
242, 3
243, 2
244, 5
245, 4
246, 7
247, 1
248, 2
249, 3
250, 19
251, 1
252, 12
253, 3
254, 4
255, 20
256, 1
257, 17
258, 13
259, 7
260, 17
261, 17
262, 12
263, 3
264, 6
265, 3
266, 2
267, 4
268, 1
269, 4
270, 7
271, 5
272, 6
273, 10
274, 9
275, 13
276, 8
277, 21
278, 15
279, 6
280, 11
281, 5
282, 2
283, 6
284, 11
285, 4
286, 0
287, 4
288, 11
289, 9
290, 3
291, 2
292, 6
293, 2
294, 11
295, 7
296, 5
297, 7
298, 13
299, 5
300, 24
301, 3
302, 6
303, 5
304, 11
305, 9
306, 1
307, 2
308, 3
309, 1
310, 4
311, 7
312, 0
313, 12
314, 6
315, 4
316, 13
317, 0
318, 18
319, 2
320, 9
321, 20
322, 0
323, 6
324, 6
325, 6
326, 5
327, 1
328, 13
329, 0
330, 1
331, 2
332, 26
333, 13
334, 9
335, 6
336, 5
337, 3
338, 11
339, 2
340, 3
341, 0
342, 3
343, 1
344, 7
345, 26
346, 14
347, 12
348, 11
349, 4
350, 4
351, 36
352, 15
353, 4
354, 7
355, 2
356, 4
357, 21
358, 4
359, 6
360, 6
361, 4
362, 16
363, 3
364, 2
365, 7
366, 8
367, 7
368, 0
369, 2
370, 23
371, 3
372, 3
373, 21
374, 9
375, 6
376, 1
377, 6
378, 3
379, 15
380, 16
381, 6
382, 1
383, 7
384, 2
385, 1
386, 2
387, 7
388, 4
389, 1
390, 5
391, 16
392, 4
393, 14
394, 4
395, 0
396, 2
397, 13
398, 2
399, 11
400, 12
401, 11
402, 13
403, 1
404, 3
405, 6
406, 3
407, 9
408, 1
409, 3
410, 1
411, 0
412, 10
413, 11
414, 1
415, 2
416, 2
417, 7
418, 7
419, 6
420, 1
421, 1
422, 17
423, 6
424, 10
425, 5
426, 0
427, 1
428, 1
429, 13
430, 14
431, 6
432, 8
433, 2
434, 8
435, 4
436, 14
437, 17
438, 4
439, 4
440, 5
441, 8
442, 16
443, 3
444, 3
445, 0
446, 4
447, 9
448, 11
449, 12
450, 7
451, 16
452, 3
453, 3
454, 7
455, 9
456, 16
457, 18
458, 0
459, 3
460, 0
461, 9
462, 2
463, 6
464, 1
465, 0
466, 0
467, 10
468, 0
469, 11
470, 9
471, 8
472, 16
473, 9
474, 4
475, 12
476, 11
477, 8
478, 11
479, 11
480, 2
481, 4
482, 8
483, 17
484, 9
485, 4
486, 3
487, 15
488, 26
489, 1
490, 6
491, 12
492, 4
493, 4
494, 3
495, 8
496, 10
497, 5
498, 18
499, 4
500, 1
501, 0
502, 17
503, 1
504, 2
505, 4
506, 2
507, 7
508, 4
509, 8
510, 1
511, 12
512, 11
513, 3
514, 4
515, 5
516, 10
517, 9
518, 4
519, 1
520, 5
521, 8
522, 7
523, 0
524, 2
525, 7
526, 13
527, 3
528, 5
529, 1
530, 0
531, 4
532, 1
533, 7
534, 4
535, 3
536, 19
537, 11
538, 0
539, 24
540, 5
541, 3
542, 10
543, 12
544, 3
545, 4
546, 6
547, 9
548, 2
549, 0
550, 4
551, 1
552, 6
553, 7
554, 5
555, 19
556, 14
557, 1
558, 3
559, 7
560, 4
561, 21
562, 14
563, 9
564, 5
565, 11
566, 3
567, 3
568, 0
569, 0
570, 6
571, 14
572, 5
573, 6
574, 8
575, 13
576, 1
577, 2
578, 2
579, 3
580, 16
581, 8
582, 3
583, 2
584, 3
585, 14
586, 2
587, 16
588, 5
589, 0
590, 1
591, 6
592, 4
593, 14
594, 2
595, 12
596, 9
597, 10
598, 1
599, 1
600, 21
601, 11
602, 2
603, 1
604, 21
605, 2
606, 3
607, 6
608, 18
609, 4
610, 6
611, 8
612, 5
613, 2
614, 18
615, 9
616, 0
617, 8
618, 28
619, 2
620, 11
621, 1
622, 1
623, 2
624, 5
625, 5
626, 14
627, 5
628, 6
629, 3
630, 7
631, 11
632, 3
633, 7
634, 0
635, 15
636, 21
637, 2
638, 6
639, 1
640, 21
641, 9
642, 2
643, 2
644, 7
645, 1
646, 12
647, 5
648, 31
649, 4
650, 4
651, 5
652, 0
653, 4
654, 10
655, 4
656, 1
657, 11
658, 10
659, 2
660, 15
661, 8
662, 9
663, 9
664, 34
665, 7
666, 1
667, 12
668, 1
669, 9
670, 4
671, 4
672, 12
673, 4
674, 1
675, 11
676, 4
677, 15
678, 20
679, 2
680, 2
681, 6
682, 4
683, 5
684, 13
685, 1
686, 9
687, 1
688, 1
689, 6
690, 1
691, 6
692, 27
693, 2
694, 0
695, 8
696, 10
697, 14
698, 1
699, 1
700, 6
701, 11
702, 6
703, 4
704, 1
705, 0
706, 4
707, 0
708, 18
709, 4
710, 5
711, 31
712, 10
713, 13
714, 8
715, 14
716, 1
717, 9
718, 4
719, 3
720, 8
721, 10
722, 4
723, 8
724, 5
725, 13
726, 0
727, 6
728, 4
729, 0
730, 4
731, 12
732, 9
733, 2
734, 1
735, 7
736, 8
737, 4
738, 9
739, 9
740, 9
741, 11
742, 29
743, 2
744, 1
745, 28
746, 13
747, 29
748, 2
749, 3
750, 1
751, 7
752, 1
753, 10
754, 6
755, 18
756, 1
757, 0
758, 4
759, 6
760, 6
761, 2
762, 1
763, 8
764, 1
765, 11
766, 4
767, 5
768, 0
769, 2
770, 18
771, 5
772, 12
773, 20
774, 4
775, 5
776, 1
777, 10
778, 0
779, 1
780, 1
781, 1
782, 11
783, 5
784, 5
785, 12
786, 7
787, 18
788, 3
789, 8
790, 1
791, 6
792, 2
793, 15
794, 1
795, 9
796, 3
797, 2
798, 11
799, 8
800, 17
801, 5
802, 7
803, 5
804, 17
805, 12
806, 22
807, 2
808, 24
809, 5
810, 17
811, 8
812, 9
813, 6
814, 3
815, 22
816, 1
817, 1
818, 6
819, 1
820, 4
821, 13
822, 6
823, 13
824, 3
825, 20
826, 5
827, 3
828, 4
829, 7
830, 4
831, 4
832, 8
833, 1
834, 12
835, 1
836, 20
837, 6
838, 7
839, 3
840, 0
841, 2
842, 11
843, 5
844, 8
845, 34
846, 16
847, 1
848, 9
849, 7
850, 6
851, 2
852, 1
853, 1
854, 2
855, 3
856, 7
857, 2
858, 2
859, 2
860, 2
861, 8
862, 5
863, 7
864, 23
865, 9
866, 7
867, 1
868, 1
869, 4
870, 3
871, 8
872, 6
873, 6
874, 4
875, 9
876, 3
877, 1
878, 10
879, 8
880, 3
881, 8
882, 6
883, 2
884, 6
885, 9
886, 7
887, 8
888, 3
889, 16
890, 4
891, 1
892, 7
893, 10
894, 12
895, 4
896, 2
897, 2
898, 15
899, 12
900, 16
901, 5
902, 8
903, 10
904, 7
905, 1
906, 0
907, 14
908, 19
909, 2
910, 15
911, 10
912, 24
913, 3
914, 17
915, 4
916, 1
917, 8
918, 13
919, 5
920, 9
921, 12
922, 2
923, 12
924, 2
925, 3
926, 21
927, 5
928, 2
929, 10
930, 9
931, 14
932, 16
933, 5
934, 8
935, 13
936, 21
937, 2
938, 3
939, 5
940, 23
941, 19
942, 0
943, 8
944, 2
945, 2
946, 2
947, 1
948, 5
949, 5
950, 11
951, 5
952, 4
953, 3
954, 19
955, 6
956, 3
957, 7
958, 20
959, 6
960, 11
961, 2
962, 7
963, 0
964, 2
965, 2
966, 4
967, 12
968, 2
969, 3
970, 1
971, 15
972, 9
973, 10
974, 24
975, 4
976, 3
977, 9
978, 17
979, 28
980, 4
981, 11
982, 6
983, 1
984, 10
985, 5
986, 7
987, 2
988, 0
989, 22
990, 5
991, 10
992, 14
993, 6
994, 2
995, 4
996, 1
997, 10
998, 2
999, 8
1000, 23
1001, 20
1002, 7
1003, 9
1004, 11
1005, 7
1006, 8
1007, 4
1008, 10
1009, 6
1010, 6
1011, 1
1012, 2
1013, 1
1014, 9
1015, 3
1016, 0
1017, 5
1018, 4
1019, 5
1020, 6
1021, 6
1022, 4
1023, 7
1024, 5
1025, 7
1026, 7
1027, 6
1028, 10
1029, 3
1030, 12
1031, 4
1032, 9
1033, 9
1034, 8
1035, 4
1036, 2
1037, 7
1038, 4
1039, 6
1040, 0
1041, 22
1042, 7
1043, 5
1044, 8
1045, 9
1046, 16
1047, 3
1048, 10
1049, 3
1050, 2
1051, 12
1052, 12
1053, 12
1054, 10
1055, 3
1056, 11
1057, 0
1058, 17
1059, 15
1060, 18
1061, 0
1062, 7
1063, 2
1064, 13
1065, 7
1066, 11
1067, 3
1068, 14
1069, 2
1070, 9
1071, 3
1072, 1
1073, 4
1074, 4
1075, 0
1076, 2
1077, 9
1078, 7
1079, 2
1080, 6
1081, 14
1082, 2
1083, 2
1084, 4
1085, 20
1086, 6
1087, 13
1088, 2
1089, 1
1090, 3
1091, 7
1092, 1
1093, 4
1094, 19
1095, 1
1096, 9
1097, 20
1098, 1
1099, 3
1100, 6
1101, 1
1102, 7
1103, 15
1104, 22
1105, 2
1106, 5
1107, 5
1108, 3
1109, 7
1110, 4
1111, 14
1112, 1
1113, 10
1114, 1
1115, 5
1116, 7
1117, 0
1118, 14
1119, 5
1120, 11
1121, 1
1122, 5
1123, 10
1124, 6
1125, 11
1126, 5
1127, 18
1128, 9
1129, 5
1130, 0
1131, 5
1132, 10
1133, 1
1134, 1
1135, 7
1136, 8
1137, 5
1138, 8
1139, 6
1140, 1
1141, 5
1142, 10
1143, 5
1144, 4
1145, 3
1146, 3
1147, 6
1148, 10
1149, 15
1150, 21
1151, 2
1152, 12
1153, 2
1154, 12
1155, 4
1156, 16
1157, 2
1158, 0
1159, 9
1160, 3
1161, 5
1162, 5
1163, 5
1164, 4
1165, 12
1166, 1
1167, 17
1168, 3
1169, 3
1170, 3
1171, 12
1172, 1
1173, 2
1174, 1
1175, 15
1176, 2
1177, 3
1178, 1
1179, 5
1180, 4
1181, 6
1182, 7
1183, 3
1184, 5
1185, 6
1186, 1
1187, 28
1188, 4
1189, 23
1190, 1
1191, 4
1192, 40
1193, 27
1194, 12
1195, 8
1196, 2
1197, 10
1198, 4
1199, 17
1200, 19
1201, 18
1202, 1
1203, 11
1204, 14
1205, 9
1206, 2
1207, 14
1208, 0
1209, 6
1210, 11
1211, 5
1212, 13
1213, 6
1214, 4
1215, 1
1216, 7
1217, 2
1218, 1
1219, 3
1220, 8
1221, 2
1222, 1
1223, 3
1224, 4
1225, 9
1226, 10
1227, 2
1228, 10
1229, 3
1230, 2
1231, 19
1232, 4
1233, 5
1234, 1
1235, 5
1236, 3
1237, 2
1238, 0
1239, 3
1240, 6
1241, 5
1242, 8
1243, 1
1244, 20
1245, 0
1246, 2
1247, 5
1248, 11
1249, 9
1250, 3
1251, 3
1252, 7
1253, 7
1254, 1
1255, 3
1256, 9
1257, 2
1258, 3
1259, 14
1260, 4
1261, 4
1262, 16
1263, 8
1264, 0
1265, 4
1266, 5
1267, 4
1268, 13
1269, 7
1270, 2
1271, 0
1272, 18
1273, 5
1274, 4
1275, 5
1276, 23
1277, 19
1278, 3
1279, 1
1280, 10
1281, 31
1282, 3
1283, 26
1284, 8
1285, 3
1286, 5
1287, 4
1288, 1
1289, 1
1290, 3
1291, 5
1292, 17
1293, 10
1294, 2
1295, 8
1296, 1
1297, 0
1298, 2
1299, 21
1300, 10
1301, 1
1302, 7
1303, 5
1304, 5
1305, 1
1306, 4
1307, 16
1308, 14
1309, 5
1310, 4
1311, 6
1312, 4
1313, 32
1314, 2
1315, 13
1316, 2
1317, 1
1318, 1
1319, 13
1320, 8
1321, 13
1322, 2
1323, 24
1324, 5
1325, 5
1326, 5
1327, 5
1328, 4
1329, 1
1330, 3
1331, 4
1332, 6
1333, 6
1334, 14
1335, 5
1336, 11
1337, 2
1338, 9
1339, 3
1340, 0
1341, 1
1342, 13
1343, 2
1344, 7
1345, 7
1346, 1
1347, 11
1348, 9
1349, 2
1350, 2
1351, 11
1352, 7
1353, 4
1354, 3
1355, 2
1356, 1
1357, 3
1358, 1
1359, 11
1360, 1
1361, 16
1362, 4
1363, 4
1364, 2
1365, 9
1366, 3
1367, 6
1368, 16
1369, 6
1370, 6
1371, 8
1372, 1
1373, 23
1374, 0
1375, 3
1376, 23
1377, 5
1378, 15
1379, 1
1380, 1
1381, 1
1382, 13
1383, 3
1384, 6
1385, 12
1386, 5
1387, 1
1388, 1
1389, 5
1390, 1
1391, 13
1392, 7
1393, 8
1394, 4
1395, 4
1396, 8
1397, 31
1398, 0
1399, 3
1400, 9
1401, 12
1402, 4
1403, 2
1404, 19
1405, 10
1406, 5
1407, 15
1408, 3
1409, 20
1410, 4
1411, 9
1412, 3
1413, 1
1414, 18
1415, 1
1416, 1
1417, 8
1418, 6
1419, 13
1420, 6
1421, 9
1422, 4
1423, 12
1424, 6
1425, 6
1426, 9
1427, 12
1428, 3
1429, 3
1430, 8
1431, 4
1432, 0
1433, 5
1434, 3
1435, 13
1436, 4
1437, 12
1438, 0
1439, 3
1440, 5
1441, 2
1442, 2
1443, 15
1444, 8
1445, 2
1446, 12
1447, 16
1448, 21
1449, 5
1450, 2
1451, 2
1452, 2
1453, 4
1454, 0
1455, 0
1456, 6
1457, 1
1458, 2
1459, 6
1460, 3
1461, 5
1462, 13
1463, 1
1464, 2
1465, 1
1466, 10
1467, 3
1468, 6
1469, 11
1470, 5
1471, 1
1472, 8
1473, 13
1474, 10
1475, 16
1476, 5
1477, 3
1478, 6
1479, 2
1480, 2
1481, 12
1482, 2
1483, 7
1484, 21
1485, 1
1486, 9
1487, 10
1488, 4
1489, 2
1490, 17
1491, 10
1492, 5
1493, 1
1494, 5
1495, 1
1496, 10
1497, 12
1498, 8
1499, 3
1500, 5
1501, 10
1502, 1
1503, 5
1504, 4
1505, 0
1506, 4
1507, 0
1508, 13
1509, 9
1510, 3
1511, 5
1512, 16
1513, 3
1514, 7
1515, 14
1516, 1
1517, 2
1518, 1
1519, 0
1520, 17
1521, 10
1522, 9
1523, 4
1524, 5
1525, 7
1526, 1
1527, 18
1528, 15
1529, 18
1530, 11
1531, 3
1532, 2
1533, 2
1534, 1
1535, 19
1536, 12
1537, 31
1538, 5
1539, 5
1540, 5
1541, 5
1542, 5
1543, 2
1544, 5
1545, 5
1546, 18
1547, 28
1548, 11
1549, 1
1550, 2
1551, 2
1552, 15
1553, 7
1554, 13
1555, 10
1556, 7
1557, 12
1558, 0
1559, 1
1560, 5
1561, 5
1562, 11
1563, 7
1564, 2
1565, 29
1566, 8
1567, 3
1568, 2
1569, 5
1570, 2
1571, 5
1572, 1
1573, 13
1574, 7
1575, 6
1576, 2
1577, 2
1578, 13
1579, 12
1580, 4
1581, 0
1582, 0
1583, 7
1584, 8
1585, 2
1586, 12
1587, 5
1588, 1
1589, 9
1590, 6
1591, 11
1592, 4
1593, 3
1594, 8
1595, 8
1596, 19
1597, 1
1598, 28
1599, 22
1600, 1
1601, 3
1602, 6
1603, 5
1604, 6
1605, 5
1606, 5
1607, 21
1608, 4
1609, 13
1610, 6
1611, 1
1612, 5
1613, 7
1614, 6
1615, 15
1616, 7
1617, 3
1618, 9
1619, 9
1620, 6
1621, 13
1622, 7
1623, 19
1624, 2
1625, 1
1626, 2
1627, 12
1628, 2
1629, 4
1630, 7
1631, 3
1632, 5
1633, 4
1634, 10
1635, 8
1636, 6
1637, 10
1638, 2
1639, 7
1640, 2
1641, 1
1642, 10
1643, 6
1644, 2
1645, 15
1646, 7
1647, 5
1648, 4
1649, 1
1650, 1
1651, 9
1652, 3
1653, 2
1654, 3
1655, 37
1656, 10
1657, 9
1658, 4
1659, 2
1660, 6
1661, 8
1662, 3
1663, 8
1664, 7
1665, 0
1666, 3
1667, 7
1668, 3
1669, 18
1670, 2
1671, 20
1672, 3
1673, 2
1674, 0
1675, 3
1676, 17
1677, 13
1678, 3
1679, 17
1680, 15
1681, 11
1682, 6
1683, 1
1684, 5
1685, 4
1686, 6
1687, 3
1688, 2
1689, 7
1690, 32
1691, 4
1692, 3
1693, 0
1694, 5
1695, 2
1696, 1
1697, 5
1698, 6
1699, 3
1700, 4
1701, 3
1702, 9
1703, 12
1704, 7
1705, 1
1706, 11
1707, 14
1708, 3
1709, 14
1710, 16
1711, 15
1712, 4
1713, 35
1714, 7
1715, 3
1716, 1
1717, 1
1718, 9
1719, 4
1720, 7
1721, 9
1722, 32
1723, 7
1724, 11
1725, 1
1726, 20
1727, 4
1728, 4
1729, 7
1730, 1
1731, 2
1732, 11
1733, 6
1734, 10
1735, 4
1736, 1
1737, 5
1738, 2
1739, 6
1740, 6
1741, 6
1742, 10
1743, 4
1744, 3
1745, 7
1746, 3
1747, 1
1748, 3
1749, 6
1750, 1
1751, 2
1752, 10
1753, 5
1754, 13
1755, 5
1756, 14
1757, 1
1758, 2
1759, 0
1760, 9
1761, 4
1762, 4
1763, 5
1764, 7
1765, 8
1766, 3
1767, 5
1768, 6
1769, 1
1770, 22
1771, 4
1772, 12
1773, 13
1774, 1
1775, 6
1776, 8
1777, 1
1778, 12
1779, 10
1780, 2
1781, 1
1782, 20
1783, 21
1784, 10
1785, 7
1786, 11
1787, 2
1788, 6
1789, 22
1790, 2
1791, 4
1792, 2
1793, 5
1794, 0
1795, 5
1796, 3
1797, 2
1798, 1
1799, 20
1800, 7
1801, 9
1802, 10
1803, 7
1804, 3
1805, 5
1806, 8
1807, 2
1808, 9
1809, 11
1810, 3
1811, 7
1812, 5
1813, 4
1814, 6
1815, 6
1816, 2
1817, 7
1818, 5
1819, 10
1820, 3
1821, 4
1822, 1
1823, 1
1824, 15
1825, 13
1826, 0
1827, 7
1828, 1
1829, 5
1830, 1
1831, 6
1832, 0
1833, 5
1834, 5
1835, 1
1836, 19
1837, 19
1838, 3
1839, 1
1840, 6
1841, 10
1842, 3
1843, 2
1844, 6
1845, 10
1846, 22
1847, 0
1848, 10
1849, 2
1850, 9
1851, 9
1852, 7
1853, 6
1854, 3
1855, 10
1856, 9
1857, 0
1858, 4
1859, 4
1860, 7
1861, 11
1862, 3
1863, 15
1864, 12
1865, 10
1866, 19
1867, 1
1868, 12
1869, 0
1870, 7
1871, 9
1872, 5
1873, 3
1874, 1
1875, 0
1876, 16
1877, 14
1878, 3
1879, 10
1880, 11
1881, 9
1882, 2
1883, 17
1884, 29
1885, 7
1886, 0
1887, 1
1888, 31
1889, 17
1890, 1
1891, 16
1892, 6
1893, 15
1894, 5
1895, 6
1896, 9
1897, 7
1898, 11
1899, 1
1900, 1
1901, 9
1902, 4
1903, 1
1904, 0
1905, 3
1906, 3
1907, 15
1908, 8
1909, 1
1910, 2
1911, 3
1912, 4
1913, 8
1914, 3
1915, 2
1916, 15
1917, 12
1918, 2
1919, 8
1920, 10
1921, 6
1922, 11
1923, 11
1924, 5
1925, 9
1926, 3
1927, 21
1928, 12
1929, 16
1930, 19
1931, 6
1932, 17
1933, 5
1934, 6
1935, 5
1936, 13
1937, 1
1938, 10
1939, 12
1940, 5
1941, 12
1942, 32
1943, 4
1944, 3
1945, 7
1946, 6
1947, 5
1948, 11
1949, 8
1950, 1
1951, 6
1952, 26
1953, 1
1954, 12
1955, 8
1956, 11
1957, 3
1958, 4
1959, 1
1960, 11
1961, 5
1962, 6
1963, 6
1964, 4
1965, 15
1966, 6
1967, 4
1968, 4
1969, 5
1970, 2
1971, 3
1972, 8
1973, 2
1974, 3
1975, 4
1976, 15
1977, 4
1978, 7
1979, 3
