Period, Distribution, Parameter1, Parameter2, Mean, 95%_CI_Lower, 95%_CI_Upper, AIC
All,             Empirical,     ,     , 3.8, 0.00, 12.0,
All,             Gamma,     0.74, 0.20, 3.8, 0.03, 17.3, 10566.2
All,             Weibull,   0.85, 3.52, 3.8, 0.03, 15.5, 10596.1
All,             Lognormal, 0.52, 1.63, 6.8, 0.07, 47.3, 10776.7
Dec 24 - Jan 27, Empirical,     ,     , 4.4, 0.00, 14.0,
Dec 24 - Jan 27, Gamma,     0.80, 0.18, 4.2, 0.04, 16.7, 7436.8
Dec 24 - Jan 27, Weibull,   0.91, 4.24, 4.5, 0.09, 16.9, 7481.9
Dec 24 - Jan 27, Lognormal, 0.74, 1.61, 6.3, 0.10, 42.3, 7708.9
Jan 28 – Feb 17, Empirical,     ,     , 2.6, 0.00, 9.0,  
Jan 28 – Feb 17, Gamma,     0.71, 0.27, 2.6, 0.01, 11.6, 2996.5 
Jan 28 – Feb 17, Weibull,   0.81, 2.36, 2.6, 0.03, 9.9,  2989.2
Jan 28 – Feb 17, Lognormal, 0.11, 1.60, 3.8, 0.04, 27.6, 2978.5
