date,cases
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,-1
2020-02-26,-1
2020-02-27,-1
2020-02-28,0
2020-02-29,-1
2020-03-01,4
2020-03-02,-1
2020-03-03,-1
2020-03-04,11
2020-03-05,13
2020-03-06,12
2020-03-07,16
2020-03-08,17
2020-03-09,17
2020-03-10,28
2020-03-11,30
2020-03-12,33
2020-03-13,42
2020-03-14,50
2020-03-15,52
2020-03-16,69
2020-03-17,62
2020-03-18,76
2020-03-19,76
2020-03-20,70
2020-03-21,68
2020-03-22,91
2020-03-23,81
2020-03-24,84
2020-03-25,86
2020-03-26,80
2020-03-27,78
2020-03-28,55
2020-03-29,64
2020-03-30,69
2020-03-31,70
2020-04-01,61
2020-04-02,56
2020-04-03,64
2020-04-04,72
2020-04-05,50
2020-04-06,61
2020-04-07,66
2020-04-08,65
2020-04-09,83
2020-04-10,70
2020-04-11,55
2020-04-12,49
2020-04-13,67
2020-04-14,54
2020-04-15,57
2020-04-16,66
2020-04-17,52
2020-04-18,69
2020-04-19,50
2020-04-20,53
2020-04-21,50
2020-04-22,48
2020-04-23,47
2020-04-24,36
2020-04-25,48
2020-04-26,49
2020-04-27,53
2020-04-28,35
2020-04-29,38
2020-04-30,38
2020-05-01,22
2020-05-02,21
2020-05-03,14
2020-05-04,18
2020-05-05,18
2020-05-06,9
2020-05-07,18
2020-05-08,13
2020-05-09,10
