date,cases
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,-1
2020-03-04,-1
2020-03-05,0
2020-03-06,0
2020-03-07,-1
2020-03-08,-1
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,-1
2020-03-13,-1
2020-03-14,-1
2020-03-15,6
2020-03-16,7
2020-03-17,5
2020-03-18,9
2020-03-19,11
2020-03-20,12
2020-03-21,9
2020-03-22,16
2020-03-23,17
2020-03-24,14
2020-03-25,15
2020-03-26,20
2020-03-27,17
2020-03-28,24
2020-03-29,24
2020-03-30,41
2020-03-31,35
2020-04-01,34
2020-04-02,33
2020-04-03,36
2020-04-04,39
2020-04-05,39
2020-04-06,38
2020-04-07,47
2020-04-08,48
2020-04-09,40
2020-04-10,41
2020-04-11,44
2020-04-12,65
2020-04-13,63
2020-04-14,65
2020-04-15,75
2020-04-16,79
2020-04-17,86
2020-04-18,56
2020-04-19,90
2020-04-20,93
2020-04-21,93
2020-04-22,88
2020-04-23,98
2020-04-24,83
2020-04-25,98
2020-04-26,100
2020-04-27,89
2020-04-28,108
2020-04-29,86
2020-04-30,83
2020-05-01,94
2020-05-02,68
2020-05-03,84
2020-05-04,76
2020-05-05,89
2020-05-06,69
2020-05-07,66
2020-05-08,60
2020-05-09,64
