date,cases
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,-1
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,-1
2020-02-21,-1
2020-02-22,-1
2020-02-23,-1
2020-02-24,-1
2020-02-25,-1
2020-02-26,-1
2020-02-27,-1
2020-02-28,-1
2020-02-29,7
2020-03-01,-1
2020-03-02,6
2020-03-03,5
2020-03-04,12
2020-03-05,9
2020-03-06,13
2020-03-07,19
2020-03-08,14
2020-03-09,16
2020-03-10,9
2020-03-11,15
2020-03-12,14
2020-03-13,19
2020-03-14,23
2020-03-15,25
2020-03-16,32
2020-03-17,17
2020-03-18,26
2020-03-19,28
2020-03-20,22
2020-03-21,28
2020-03-22,24
2020-03-23,37
2020-03-24,29
2020-03-25,16
2020-03-26,29
2020-03-27,29
2020-03-28,20
2020-03-29,27
2020-03-30,24
2020-03-31,12
2020-04-01,23
2020-04-02,22
2020-04-03,19
2020-04-04,23
2020-04-05,22
2020-04-06,21
2020-04-07,15
2020-04-08,24
2020-04-09,18
2020-04-10,29
2020-04-11,16
2020-04-12,19
2020-04-13,18
2020-04-14,20
2020-04-15,18
2020-04-16,21
2020-04-17,18
2020-04-18,18
2020-04-19,16
2020-04-20,15
2020-04-21,10
2020-04-22,11
2020-04-23,16
2020-04-24,11
2020-04-25,13
2020-04-26,12
2020-04-27,12
2020-04-28,10
2020-04-29,7
2020-04-30,8
2020-05-01,6
2020-05-02,5
2020-05-03,-1
2020-05-04,4
2020-05-05,4
2020-05-06,-1
2020-05-07,-1
2020-05-08,-1
