date,cases
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,-1
2020-02-26,-1
2020-02-27,-1
2020-02-28,-1
2020-02-29,-1
2020-03-01,0
2020-03-02,4
2020-03-03,-1
2020-03-04,6
2020-03-05,6
2020-03-06,15
2020-03-07,15
2020-03-08,19
2020-03-09,16
2020-03-10,27
2020-03-11,40
2020-03-12,56
2020-03-13,51
2020-03-14,71
2020-03-15,42
2020-03-16,68
2020-03-17,69
2020-03-18,74
2020-03-19,78
2020-03-20,53
2020-03-21,110
2020-03-22,113
2020-03-23,122
2020-03-24,75
2020-03-25,109
2020-03-26,68
2020-03-27,135
2020-03-28,143
2020-03-29,102
2020-03-30,131
2020-03-31,168
2020-04-01,140
2020-04-02,125
2020-04-03,198
2020-04-04,180
2020-04-05,195
2020-04-06,119
2020-04-07,132
2020-04-08,290
2020-04-09,272
2020-04-10,441
2020-04-11,311
2020-04-12,276
2020-04-13,181
2020-04-14,188
2020-04-15,354
2020-04-16,359
2020-04-17,222
2020-04-18,254
2020-04-19,127
2020-04-20,279
2020-04-21,223
2020-04-22,217
2020-04-23,217
2020-04-24,197
2020-04-25,160
2020-04-26,77
2020-04-27,52
2020-04-28,244
2020-04-29,121
2020-04-30,90
2020-05-01,137
2020-05-02,100
2020-05-03,26
2020-05-04,35
2020-05-05,23
2020-05-06,48
2020-05-07,47
2020-05-08,51
2020-05-09,46
