date,cases
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,-1
2020-02-28,0
2020-02-29,0
2020-03-01,-1
2020-03-02,-1
2020-03-03,0
2020-03-04,0
2020-03-05,-1
2020-03-06,7
2020-03-07,-1
2020-03-08,-1
2020-03-09,7
2020-03-10,18
2020-03-11,17
2020-03-12,24
2020-03-13,16
2020-03-14,24
2020-03-15,20
2020-03-16,28
2020-03-17,28
2020-03-18,21
2020-03-19,44
2020-03-20,32
2020-03-21,39
2020-03-22,53
2020-03-23,46
2020-03-24,47
2020-03-25,57
2020-03-26,38
2020-03-27,66
2020-03-28,56
2020-03-29,64
2020-03-30,63
2020-03-31,57
2020-04-01,67
2020-04-02,77
2020-04-03,84
2020-04-04,74
2020-04-05,100
2020-04-06,87
2020-04-07,77
2020-04-08,95
2020-04-09,105
2020-04-10,145
2020-04-11,160
2020-04-12,158
2020-04-13,134
2020-04-14,104
2020-04-15,173
2020-04-16,153
2020-04-17,128
2020-04-18,134
2020-04-19,134
2020-04-20,128
2020-04-21,155
2020-04-22,128
2020-04-23,129
2020-04-24,135
2020-04-25,109
2020-04-26,88
2020-04-27,80
2020-04-28,107
2020-04-29,90
2020-04-30,88
2020-05-01,85
2020-05-02,74
2020-05-03,61
2020-05-04,42
2020-05-05,47
2020-05-06,50
2020-05-07,35
2020-05-08,38
2020-05-09,35
