Draw, Value
1, 2
2, 18
3, 4
4, 7
5, 5
6, 13
7, 13
8, 18
9, 5
10, 15
11, 2
12, 4
13, 25
14, 8
15, 7
16, 1
17, 6
18, 10
19, 36
20, 24
21, 6
22, 23
23, 3
24, 5
25, 23
26, 5
27, 8
28, 15
29, 6
30, 1
31, 20
32, 1
33, 2
34, 3
35, 4
36, 12
37, 8
38, 8
39, 13
40, 3
41, 13
42, 9
43, 1
44, 18
45, 16
46, 3
47, 6
48, 19
49, 4
50, 28
51, 4
52, 35
53, 8
54, 3
55, 20
56, 7
57, 4
58, 8
59, 4
60, 11
61, 10
62, 20
63, 12
64, 16
65, 8
66, 9
67, 3
68, 6
69, 26
70, 27
71, 1
72, 15
73, 11
74, 7
75, 2
76, 26
77, 13
78, 6
79, 1
80, 5
81, 2
82, 4
83, 6
84, 0
85, 6
86, 3
87, 14
88, 9
89, 2
90, 2
91, 0
92, 7
93, 10
94, 9
95, 8
96, 6
97, 19
98, 6
99, 7
100, 10
101, 7
102, 12
103, 13
104, 16
105, 9
106, 8
107, 16
108, 25
109, 7
110, 3
111, 25
112, 7
113, 8
114, 1
115, 19
116, 14
117, 7
118, 0
119, 6
120, 5
121, 29
122, 4
123, 14
124, 1
125, 5
126, 16
127, 15
128, 2
129, 0
130, 12
131, 14
132, 14
133, 12
134, 7
135, 5
136, 20
137, 41
138, 17
139, 1
140, 14
141, 18
142, 13
143, 5
144, 20
145, 13
146, 20
147, 10
148, 12
149, 17
150, 9
151, 6
152, 11
153, 10
154, 10
155, 12
156, 9
157, 6
158, 32
159, 3
160, 14
161, 11
162, 25
163, 6
164, 5
165, 19
166, 18
167, 3
168, 9
169, 2
170, 7
171, 6
172, 15
173, 5
174, 14
175, 2
176, 17
177, 19
178, 9
179, 2
180, 3
181, 5
182, 5
183, 19
184, 2
185, 4
186, 14
187, 9
188, 25
189, 3
190, 11
191, 7
192, 27
193, 3
194, 11
195, 9
196, 14
197, 7
198, 12
199, 25
200, 2
201, 9
202, 1
203, 17
204, 16
205, 9
206, 5
207, 9
208, 21
209, 6
210, 19
211, 0
212, 4
213, 5
214, 10
215, 4
216, 7
217, 24
218, 6
219, 1
220, 14
221, 13
222, 3
223, 4
224, 7
225, 8
226, 14
227, 17
228, 4
229, 6
230, 25
231, 25
232, 18
233, 5
234, 8
235, 3
236, 1
237, 18
238, 5
239, 1
240, 5
241, 7
242, 3
243, 5
244, 25
245, 25
246, 13
247, 4
248, 23
249, 26
250, 3
251, 14
252, 22
253, 1
254, 15
255, 5
256, 25
257, 6
258, 1
259, 19
260, 3
261, 5
262, 1
263, 6
264, 5
265, 3
266, 4
267, 5
268, 32
269, 1
270, 3
271, 8
272, 3
273, 11
274, 3
275, 2
276, 13
277, 28
278, 2
279, 8
280, 7
281, 16
282, 0
283, 24
284, 8
285, 18
286, 4
287, 9
288, 1
289, 7
290, 10
291, 11
292, 5
293, 1
294, 16
295, 0
296, 11
297, 12
298, 4
299, 4
300, 6
301, 6
302, 2
303, 29
304, 1
305, 3
306, 7
307, 17
308, 9
309, 4
310, 5
311, 8
312, 1
313, 15
314, 26
315, 10
316, 6
317, 4
318, 1
319, 8
320, 22
321, 2
322, 5
323, 13
324, 10
325, 18
326, 3
327, 26
328, 15
329, 6
330, 22
331, 6
332, 24
333, 7
334, 24
335, 5
336, 6
337, 5
338, 3
339, 10
340, 24
341, 2
342, 14
343, 1
344, 4
345, 6
346, 3
347, 11
348, 5
349, 3
350, 16
351, 8
352, 11
353, 1
354, 18
355, 11
356, 1
357, 3
358, 5
359, 11
360, 13
361, 23
362, 24
363, 0
364, 15
365, 12
366, 8
367, 15
368, 9
369, 8
370, 14
371, 16
372, 3
373, 13
374, 9
375, 4
376, 10
377, 4
378, 7
379, 12
380, 3
381, 17
382, 8
383, 11
384, 4
385, 5
386, 10
387, 12
388, 1
389, 4
390, 25
391, 21
392, 7
393, 4
394, 27
395, 6
396, 24
397, 7
398, 26
399, 13
400, 7
401, 6
402, 2
403, 31
404, 31
405, 15
406, 16
407, 20
408, 10
409, 4
410, 6
411, 33
412, 13
413, 12
414, 2
415, 2
416, 3
417, 8
418, 6
419, 2
420, 5
421, 13
422, 20
423, 12
424, 26
425, 7
426, 2
427, 14
428, 7
429, 10
430, 2
431, 0
432, 33
433, 18
434, 13
435, 3
436, 10
437, 5
438, 22
439, 24
440, 11
441, 9
442, 5
443, 2
444, 14
445, 14
446, 0
447, 1
448, 10
449, 44
450, 42
451, 9
452, 15
453, 11
454, 24
455, 19
456, 24
457, 13
458, 1
459, 3
460, 5
461, 9
462, 2
463, 3
464, 19
465, 19
466, 8
467, 5
468, 19
469, 6
470, 13
471, 7
472, 26
473, 2
474, 8
475, 28
476, 5
477, 4
478, 10
479, 12
480, 16
481, 13
482, 2
483, 13
484, 6
485, 8
486, 8
487, 3
488, 10
489, 14
490, 4
491, 5
492, 18
493, 12
494, 6
495, 13
496, 7
497, 6
498, 1
499, 9
500, 4
501, 13
502, 13
503, 21
504, 12
505, 1
506, 4
507, 6
508, 7
509, 10
510, 6
511, 12
512, 8
513, 10
514, 14
515, 7
516, 8
517, 10
518, 23
519, 12
520, 18
521, 5
522, 4
523, 9
524, 11
525, 6
526, 14
527, 5
528, 5
529, 22
530, 3
531, 7
532, 9
533, 8
534, 1
535, 1
536, 19
537, 12
538, 8
539, 18
540, 13
541, 15
542, 9
543, 16
544, 9
545, 4
546, 6
547, 15
548, 13
549, 3
550, 8
551, 7
552, 12
553, 17
554, 7
555, 4
556, 5
557, 7
558, 8
559, 21
560, 11
561, 11
562, 17
563, 8
564, 8
565, 14
566, 17
567, 17
568, 7
569, 6
570, 5
571, 7
572, 14
573, 4
574, 7
575, 22
576, 7
577, 9
578, 17
579, 6
580, 10
581, 6
582, 22
583, 4
584, 10
585, 21
586, 5
587, 7
588, 10
589, 12
590, 8
591, 7
592, 7
593, 6
594, 19
595, 5
596, 16
597, 11
598, 7
599, 20
600, 12
601, 13
602, 2
603, 9
604, 3
605, 12
606, 7
607, 7
608, 10
609, 8
610, 8
611, 8
612, 4
613, 14
614, 13
615, 6
616, 2
617, 12
618, 4
619, 12
620, 10
621, 16
622, 8
623, 10
624, 14
625, 11
626, 14
627, 13
628, 5
629, 8
630, 3
631, 16
632, 9
633, 15
634, 9
635, 10
636, 6
637, 10
638, 11
639, 14
640, 16
641, 3
642, 20
643, 20
644, 15
645, 6
646, 10
647, 7
648, 10
649, 5
650, 3
651, 8
652, 8
653, 12
654, 13
655, 6
656, 11
657, 15
658, 6
659, 11
660, 2
661, 13
662, 4
663, 12
664, 9
665, 8
666, 15
667, 13
668, 4
669, 6
670, 4
671, 1
672, 12
673, 13
674, 8
675, 12
676, 6
677, 8
678, 8
679, 3
680, 14
681, 8
682, 7
683, 3
684, 14
685, 10
686, 8
687, 6
688, 17
689, 7
690, 6
691, 4
692, 6
693, 12
694, 8
695, 18
696, 8
697, 1
698, 11
699, 7
700, 2
701, 11
702, 13
703, 12
704, 3
705, 6
706, 20
707, 10
708, 5
709, 6
710, 1
711, 7
712, 9
713, 6
714, 4
715, 16
716, 13
717, 11
718, 19
719, 15
720, 13
721, 12
722, 16
723, 13
724, 6
725, 15
726, 18
727, 1
728, 8
729, 15
730, 12
731, 2
732, 4
733, 6
734, 15
735, 15
736, 17
737, 5
738, 5
739, 22
740, 12
741, 12
742, 8
743, 12
744, 8
745, 6
746, 8
747, 6
748, 2
749, 6
750, 22
751, 9
752, 12
753, 9
754, 20
755, 9
756, 5
757, 17
758, 10
759, 9
760, 14
761, 2
762, 3
763, 6
764, 8
765, 7
766, 12
767, 11
768, 5
769, 3
770, 2
771, 3
772, 6
773, 21
774, 19
775, 17
776, 15
777, 22
778, 6
779, 5
780, 4
781, 9
782, 16
783, 7
784, 8
785, 9
786, 18
787, 4
788, 21
789, 10
790, 11
791, 18
792, 2
793, 13
794, 11
795, 11
796, 5
797, 10
798, 16
799, 10
800, 20
801, 5
802, 3
803, 10
804, 9
805, 1
806, 9
807, 2
808, 25
809, 9
810, 10
811, 11
812, 14
813, 11
814, 9
815, 6
816, 15
817, 9
818, 4
819, 2
820, 4
821, 11
822, 9
823, 9
824, 10
825, 6
826, 8
827, 10
828, 15
829, 10
830, 6
831, 11
832, 14
833, 8
834, 13
835, 6
836, 5
837, 3
838, 13
839, 14
840, 6
841, 2
842, 15
843, 7
844, 11
845, 11
846, 9
847, 8
848, 3
849, 11
850, 13
851, 4
852, 11
853, 13
854, 10
855, 11
856, 12
857, 12
858, 9
859, 5
860, 6
861, 7
862, 11
863, 5
864, 17
865, 3
866, 13
867, 21
868, 19
869, 23
870, 9
871, 10
872, 22
873, 3
874, 2
875, 8
876, 13
877, 18
878, 3
879, 12
880, 13
881, 23
882, 18
883, 9
884, 12
885, 4
886, 13
887, 4
888, 13
889, 10
890, 11
891, 22
892, 10
893, 6
894, 10
895, 11
896, 9
897, 1
898, 3
899, 7
900, 8
901, 17
902, 11
903, 13
904, 4
905, 16
906, 2
907, 13
908, 14
909, 12
910, 11
911, 12
912, 15
913, 5
914, 8
915, 5
916, 5
917, 11
918, 7
919, 3
920, 18
921, 16
922, 12
923, 5
924, 0
925, 7
926, 9
927, 13
928, 8
929, 8
930, 9
931, 1
932, 8
933, 11
934, 7
935, 10
936, 9
937, 11
938, 8
939, 7
940, 4
941, 10
942, 8
943, 9
944, 13
945, 14
946, 12
947, 8
948, 7
949, 10
950, 14
951, 16
952, 10
953, 13
954, 9
955, 1
956, 13
957, 17
958, 6
959, 12
960, 7
961, 13
962, 9
963, 3
964, 6
965, 2
966, 13
967, 15
968, 12
969, 15
970, 2
971, 11
972, 4
973, 20
974, 10
975, 15
976, 14
977, 11
978, 7
979, 11
980, 18
981, 2
982, 1
983, 7
984, 16
985, 18
986, 14
987, 17
988, 14
989, 23
990, 6
991, 18
992, 17
993, 7
994, 4
995, 11
996, 8
997, 11
998, 19
999, 6
1000, 8
1001, 7
1002, 7
1003, 4
1004, 10
1005, 15
1006, 3
1007, 3
1008, 6
1009, 19
1010, 10
1011, 8
1012, 11
1013, 9
1014, 12
1015, 8
1016, 14
1017, 8
1018, 5
1019, 22
1020, 6
1021, 7
1022, 4
1023, 6
1024, 11
1025, 13
1026, 14
1027, 7
1028, 4
1029, 5
1030, 12
1031, 5
1032, 12
1033, 17
1034, 15
1035, 17
1036, 5
1037, 9
1038, 10
1039, 17
1040, 2
1041, 14
1042, 8
1043, 5
1044, 5
1045, 15
1046, 6
1047, 2
1048, 16
1049, 15
1050, 5
1051, 14
1052, 7
1053, 4
1054, 5
1055, 6
1056, 6
1057, 8
1058, 6
1059, 4
1060, 8
1061, 11
1062, 14
1063, 6
1064, 2
1065, 6
1066, 7
1067, 13
1068, 23
1069, 21
1070, 11
1071, 16
1072, 10
1073, 10
1074, 14
1075, 14
1076, 16
1077, 14
1078, 6
1079, 18
1080, 9
1081, 10
1082, 6
1083, 12
1084, 10
1085, 10
1086, 6
1087, 11
1088, 12
1089, 9
1090, 4
1091, 19
1092, 6
1093, 10
1094, 7
1095, 10
1096, 10
1097, 13
1098, 6
1099, 10
1100, 6
1101, 12
1102, 9
1103, 23
1104, 13
1105, 5
1106, 3
1107, 10
1108, 10
1109, 10
1110, 9
1111, 23
1112, 10
1113, 5
1114, 18
1115, 7
1116, 7
1117, 8
1118, 20
1119, 6
1120, 5
1121, 8
1122, 9
1123, 11
1124, 7
1125, 5
1126, 16
1127, 12
1128, 3
1129, 3
1130, 15
1131, 10
1132, 6
1133, 9
1134, 13
1135, 10
1136, 19
1137, 9
1138, 11
1139, 4
1140, 10
1141, 5
1142, 8
1143, 4
1144, 11
1145, 8
1146, 12
1147, 6
1148, 11
1149, 11
1150, 4
1151, 10
1152, 6
1153, 15
1154, 10
1155, 21
1156, 8
1157, 8
1158, 12
1159, 7
1160, 6
1161, 21
1162, 7
1163, 13
1164, 6
1165, 2
1166, 8
1167, 12
1168, 10
1169, 14
1170, 10
1171, 19
1172, 8
1173, 6
1174, 12
1175, 4
1176, 9
1177, 6
1178, 10
1179, 5
1180, 17
1181, 17
1182, 3
1183, 19
1184, 4
1185, 10
1186, 9
1187, 7
1188, 16
1189, 13
1190, 5
1191, 16
1192, 9
1193, 11
1194, 9
1195, 10
1196, 6
1197, 7
1198, 15
1199, 15
1200, 7
1201, 10
1202, 9
1203, 8
1204, 13
1205, 5
1206, 5
1207, 7
1208, 16
1209, 13
1210, 5
1211, 5
1212, 28
1213, 13
1214, 12
1215, 11
1216, 9
1217, 10
1218, 14
1219, 9
1220, 3
1221, 11
1222, 13
1223, 14
1224, 17
1225, 11
1226, 6
1227, 3
1228, 11
1229, 13
1230, 8
1231, 12
1232, 10
1233, 6
1234, 15
1235, 13
1236, 15
1237, 5
1238, 2
1239, 6
1240, 3
1241, 7
1242, 5
1243, 10
1244, 5
1245, 13
1246, 7
1247, 14
1248, 9
1249, 5
1250, 16
1251, 9
1252, 10
1253, 3
1254, 8
1255, 9
1256, 6
1257, 9
1258, 13
