Epidemic_Period,Age,Distribution,Median,IQR_Lower,IQR_Upper,Overdispersion,Mean
All, 0-39,            Empirical,   3, 0, 11, ,
All, 40-59,           Empirical,  5, 1, 11, ,
All, 60-69,           Empirical,  5, 1, 10, ,
All, 70-79,           Empirical,  5, 1, 9, ,
All, 80+,             Empirical,    3, 0, 8, ,
All, Unknown,         Empirical, 13, 9.5, 16.5, , 
All, All,             Empirical, 4, 1, 10, ,
Pre 16-03-2020, All,  Empirical, 7, 3, 12, ,
Post 16-03-2020, All, Empirical, 2, 0, 7, ,
Unknown, All,         Empirical, 0, 0, 0, ,
All, All,             Negative Binomial, , , , 0.445, 9.753
