data,IQP_fqp,iqp_FQP
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,-1,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,-1,0
2020-02-19,-1,0
2020-02-20,-1,0
2020-02-21,-1,0
2020-02-22,-1,-1
2020-02-23,8,-1
2020-02-24,4,-1
2020-02-25,8,0
2020-02-26,11,-1
2020-02-27,5,4
2020-02-28,11,-1
2020-02-29,12,-1
2020-03-01,17,7
2020-03-02,17,4
2020-03-03,16,7
2020-03-04,23,11
2020-03-05,14,16
2020-03-06,16,9
2020-03-07,22,19
2020-03-08,24,18
2020-03-09,16,21
2020-03-10,16,21
2020-03-11,25,15
2020-03-12,14,9
2020-03-13,21,17
2020-03-14,19,23
2020-03-15,15,17
2020-03-16,19,26
2020-03-17,34,17
2020-03-18,29,23
2020-03-19,21,39
2020-03-20,17,19
2020-03-21,22,26
2020-03-22,20,30
2020-03-23,18,14
2020-03-24,25,19
2020-03-25,17,28
2020-03-26,14,23
2020-03-27,17,16
2020-03-28,11,18
2020-03-29,14,17
2020-03-30,11,13
2020-03-31,21,14
2020-04-01,18,15
2020-04-02,18,23
2020-04-03,14,20
2020-04-04,13,14
2020-04-05,13,19
2020-04-06,10,10
2020-04-07,12,8
2020-04-08,17,13
2020-04-09,12,21
2020-04-10,10,13
2020-04-11,14,11
2020-04-12,12,16
2020-04-13,13,7
2020-04-14,8,18
2020-04-15,4,15
2020-04-16,9,10
2020-04-17,10,8
2020-04-18,9,12
2020-04-19,7,16
2020-04-20,6,8
2020-04-21,8,8
2020-04-22,6,9
2020-04-23,7,8
2020-04-24,7,8
2020-04-25,0,-1
2020-04-26,7,14
2020-04-27,5,6
2020-04-28,-1,6
2020-04-29,-1,-1
2020-04-30,4,4
2020-05-01,5,6
2020-05-02,4,6
2020-05-03,-1,5
2020-05-04,6,-1
2020-05-05,7,4
2020-05-06,-1,4
2020-05-07,4,-1
2020-05-08,0,-1
2020-05-09,0,-1
2020-05-10,-1,0
2020-05-11,4,-1
2020-05-12,4,4
2020-05-13,-1,5
2020-05-14,-1,-1
2020-05-15,-1,-1
2020-05-16,-1,-1
2020-05-17,0,-1
2020-05-18,-1,-1
2020-05-19,-1,-1
2020-05-20,-1,-1
2020-05-21,0,-1
2020-05-22,4,-1
2020-05-23,-1,-1
2020-05-24,-1,6
2020-05-25,-1,0
2020-05-26,-1,-1
2020-05-27,-1,-1
2020-05-28,0,-1
2020-05-29,0,0
2020-05-30,-1,-1
2020-05-31,-1,-1
