data,IQP_fqp,iqp_FQP
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,-1,0
2020-02-17,0,0
2020-02-18,-1,0
2020-02-19,-1,-1
2020-02-20,-1,0
2020-02-21,4,-1
2020-02-22,-1,-1
2020-02-23,4,-1
2020-02-24,4,-1
2020-02-25,-1,-1
2020-02-26,4,-1
2020-02-27,10,4
2020-02-28,12,-1
2020-02-29,14,6
2020-03-01,8,7
2020-03-02,13,-1
2020-03-03,16,4
2020-03-04,17,11
2020-03-05,18,9
2020-03-06,15,10
2020-03-07,15,20
2020-03-08,26,10
2020-03-09,26,12
2020-03-10,23,18
2020-03-11,24,20
2020-03-12,27,19
2020-03-13,35,21
2020-03-14,26,24
2020-03-15,32,31
2020-03-16,20,19
2020-03-17,24,25
2020-03-18,30,30
2020-03-19,28,24
2020-03-20,38,24
2020-03-21,39,27
2020-03-22,47,34
2020-03-23,46,31
2020-03-24,54,36
2020-03-25,46,40
2020-03-26,49,35
2020-03-27,52,36
2020-03-28,46,35
2020-03-29,66,40
2020-03-30,63,46
2020-03-31,69,49
2020-04-01,67,56
2020-04-02,51,54
2020-04-03,56,61
2020-04-04,59,57
2020-04-05,67,60
2020-04-06,66,75
2020-04-07,47,61
2020-04-08,45,73
2020-04-09,49,66
2020-04-10,57,54
2020-04-11,54,58
2020-04-12,41,66
2020-04-13,33,54
2020-04-14,39,53
2020-04-15,53,50
2020-04-16,38,46
2020-04-17,34,47
2020-04-18,29,51
2020-04-19,24,35
2020-04-20,29,44
2020-04-21,15,43
2020-04-22,22,27
2020-04-23,13,30
2020-04-24,22,25
2020-04-25,18,33
2020-04-26,11,25
2020-04-27,9,20
2020-04-28,16,19
2020-04-29,7,15
2020-04-30,5,9
2020-05-01,6,12
2020-05-02,5,4
2020-05-03,7,5
2020-05-04,4,7
2020-05-05,5,7
2020-05-06,4,6
2020-05-07,7,5
2020-05-08,5,4
2020-05-09,6,6
2020-05-10,-1,6
2020-05-11,4,10
2020-05-12,4,7
2020-05-13,6,10
2020-05-14,4,-1
2020-05-15,4,4
2020-05-16,-1,-1
2020-05-17,-1,5
2020-05-18,-1,-1
2020-05-19,0,-1
2020-05-20,5,-1
2020-05-21,-1,4
2020-05-22,-1,4
2020-05-23,0,-1
2020-05-24,-1,-1
2020-05-25,-1,0
2020-05-26,-1,6
2020-05-27,-1,-1
2020-05-28,-1,-1
2020-05-29,0,-1
2020-05-30,-1,-1
2020-05-31,4,-1
2020-06-01,-1,-1
