data,P_iqo_is_fqo_g,p_IQO_is_fqo_g,p_iqo_IS_fqo_g,p_iqo_is_FQO_g,p_iqo_is_fqo_G
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,-1,-1,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,-1,-1,-1,0,0
2020-02-28,0,0,-1,0,0
2020-02-29,-1,-1,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,-1,0,0
2020-03-03,0,0,0,0,0
2020-03-04,-1,-1,0,0,0
2020-03-05,-1,-1,0,0,0
2020-03-06,5,5,4,0,0
2020-03-07,4,4,0,0,0
2020-03-08,4,4,6,0,0
2020-03-09,7,7,4,0,0
2020-03-10,7,7,5,0,0
2020-03-11,9,9,6,0,0
2020-03-12,5,5,8,0,0
2020-03-13,13,13,8,0,0
2020-03-14,18,18,8,-1,-1
2020-03-15,10,10,12,-1,-1
2020-03-16,14,14,13,0,0
2020-03-17,13,13,16,0,0
2020-03-18,11,11,12,-1,-1
2020-03-19,9,9,14,0,0
2020-03-20,12,12,10,0,0
2020-03-21,24,24,10,-1,-1
2020-03-22,25,25,12,-1,-1
2020-03-23,26,26,30,-1,-1
2020-03-24,17,17,24,5,5
2020-03-25,26,26,23,8,8
2020-03-26,10,10,20,4,4
2020-03-27,27,27,18,5,5
2020-03-28,34,34,18,5,5
2020-03-29,20,20,30,8,8
2020-03-30,34,34,22,17,17
2020-03-31,39,39,33,9,9
2020-04-01,25,25,35,11,11
2020-04-02,25,25,27,10,10
2020-04-03,42,42,28,10,10
2020-04-04,44,44,36,18,18
2020-04-05,50,50,36,17,17
2020-04-06,22,22,46,16,16
2020-04-07,22,22,36,15,15
2020-04-08,67,67,29,17,17
2020-04-09,54,54,31,16,16
2020-04-10,94,94,58,24,24
2020-04-11,72,72,78,19,19
2020-04-12,58,58,75,21,21
2020-04-13,41,41,65,27,27
2020-04-14,38,38,55,32,32
2020-04-15,76,76,50,24,24
2020-04-16,69,69,51,31,31
2020-04-17,45,45,71,26,26
2020-04-18,52,52,61,23,23
2020-04-19,24,24,55,37,37
2020-04-20,58,58,36,37,37
2020-04-21,55,55,44,38,38
2020-04-22,50,50,59,37,37
2020-04-23,38,38,44,50,50
2020-04-24,37,37,37,46,46
2020-04-25,32,32,42,52,52
2020-04-26,15,15,40,40,40
2020-04-27,9,9,26,68,68
2020-04-28,48,48,13,54,54
2020-04-29,21,21,26,65,65
2020-04-30,11,11,29,66,66
2020-05-01,36,36,24,62,62
2020-05-02,17,17,20,51,51
2020-05-03,5,5,21,51,51
2020-05-04,10,10,25,62,62
2020-05-05,4,4,9,46,46
2020-05-06,7,7,5,55,55
2020-05-07,13,13,6,49,49
2020-05-08,19,19,6,44,44
2020-05-09,12,12,17,39,39
2020-05-10,-1,-1,18,33,33
2020-05-11,-1,-1,6,44,44
2020-05-12,4,4,5,38,38
2020-05-13,9,9,-1,27,27
2020-05-14,14,14,6,31,31
2020-05-15,-1,-1,11,19,19
2020-05-16,4,4,6,32,32
2020-05-17,-1,-1,8,27,27
2020-05-18,9,9,5,18,18
2020-05-19,14,14,-1,22,22
2020-05-20,-1,-1,13,10,10
2020-05-21,5,5,8,8,8
2020-05-22,-1,-1,-1,12,12
2020-05-23,-1,-1,5,8,8
2020-05-24,0,0,0,7,7
2020-05-25,-1,-1,-1,9,9
2020-05-26,5,5,-1,11,11
2020-05-27,-1,-1,-1,10,10
2020-05-28,5,5,-1,4,4
2020-05-29,-1,-1,4,4,4
2020-05-30,-1,-1,-1,10,10
2020-05-31,-1,-1,-1,8,8
2020-06-01,-1,-1,-1,9,9
2020-06-02,-1,-1,-1,6,6
2020-06-03,-1,-1,0,9,9
2020-06-04,-1,-1,-1,8,8
2020-06-05,-1,-1,-1,9,9
2020-06-06,-1,-1,-1,-1,-1
2020-06-07,0,0,-1,4,4
2020-06-08,-1,-1,0,-1,-1
2020-06-09,0,0,-1,-1,-1
2020-06-10,5,5,0,-1,-1
2020-06-11,0,0,-1,-1,-1
2020-06-12,0,0,-1,-1,-1
2020-06-13,-1,-1,0,4,4
2020-06-14,0,0,-1,-1,-1
2020-06-15,-1,-1,0,-1,-1
2020-06-16,-1,-1,0,-1,-1
2020-06-17,-1,-1,0,-1,-1
2020-06-18,0,0,-1,-1,-1
2020-06-19,-1,-1,0,-1,-1
2020-06-20,-1,-1,-1,-1,-1
2020-06-21,0,0,-1,-1,-1
2020-06-22,0,0,-1,-1,-1
2020-06-23,-1,-1,0,0,0
2020-06-24,0,0,0,0,0
2020-06-25,0,0,-1,-1,-1
2020-06-26,-1,-1,-1,-1,-1
2020-06-27,-1,-1,-1,0,0
2020-06-28,-1,-1,-1,-1,-1
2020-06-29,0,0,-1,0,0
2020-06-30,0,0,0,-1,-1
2020-07-01,0,0,0,-1,-1
2020-07-02,0,0,0,0,0
2020-07-03,-1,-1,0,-1,-1
2020-07-04,-1,-1,-1,-1,-1
2020-07-05,0,0,0,-1,-1
2020-07-06,0,0,-1,-1,-1
2020-07-07,-1,-1,0,-1,-1
2020-07-08,-1,-1,-1,-1,-1
2020-07-09,-1,-1,0,0,0
2020-07-10,-1,-1,-1,0,0
2020-07-11,0,0,0,-1,-1
2020-07-12,0,0,-1,-1,-1
2020-07-13,0,0,0,0,0
2020-07-14,0,0,0,0,0
2020-07-15,0,0,0,-1,-1
2020-07-16,0,0,0,0,0
2020-07-17,0,0,0,-1,-1
2020-07-18,0,0,0,0,0
2020-07-19,0,0,0,0,0
2020-07-20,-1,-1,0,0,0
2020-07-21,0,0,0,-1,-1
2020-07-22,-1,-1,-1,-1,-1
2020-07-23,0,0,0,-1,-1
2020-07-24,0,0,-1,0,0
2020-07-25,0,0,0,-1,-1
2020-07-26,-1,-1,0,-1,-1
2020-07-27,0,0,0,0,0
2020-07-28,0,0,-1,0,0
2020-07-29,0,0,0,0,0
2020-07-30,0,0,0,0,0
2020-07-31,0,0,0,0,0
2020-08-01,0,0,0,0,0
2020-08-02,0,0,0,0,0
2020-08-03,0,0,0,0,0
2020-08-04,0,0,0,0,0
2020-08-05,-1,-1,0,0,0
2020-08-06,0,0,-1,-1,-1
2020-08-07,0,0,0,-1,-1
2020-08-08,-1,-1,0,0,0
2020-08-09,0,0,0,0,0
2020-08-10,0,0,0,-1,-1
2020-08-11,0,0,-1,0,0
2020-08-12,0,0,0,0,0
2020-08-13,0,0,0,0,0
2020-08-14,0,0,0,0,0
2020-08-15,0,0,0,0,0
2020-08-16,0,0,0,0,0
2020-08-17,0,0,0,0,0
2020-08-18,0,0,0,0,0
2020-08-19,0,0,0,0,0
2020-08-20,0,0,0,0,0
2020-08-21,0,0,0,-1,-1
2020-08-22,0,0,0,0,0
2020-08-23,0,0,0,0,0
2020-08-24,-1,-1,0,-1,-1
2020-08-25,-1,-1,-1,0,0
2020-08-26,0,0,-1,0,0
2020-08-27,7,7,-1,0,0
2020-08-28,-1,-1,-1,0,0
2020-08-29,0,0,4,0,0
2020-08-30,-1,-1,-1,0,0
2020-08-31,0,0,-1,0,0
2020-09-01,0,0,-1,0,0
2020-09-02,0,0,0,0,0
2020-09-03,-1,-1,0,0,0
2020-09-04,0,0,-1,0,0
2020-09-05,0,0,-1,0,0
2020-09-06,-1,-1,0,0,0
2020-09-07,0,0,-1,0,0
2020-09-08,0,0,-1,-1,-1
2020-09-09,-1,-1,0,-1,-1
2020-09-10,0,0,-1,-1,-1
2020-09-11,-1,-1,0,-1,-1
2020-09-12,0,0,-1,-1,-1
2020-09-13,0,0,-1,0,0
2020-09-14,-1,-1,-1,-1,-1
2020-09-15,0,0,-1,0,0
2020-09-16,-1,-1,-1,-1,-1
2020-09-17,0,0,-1,-1,-1
2020-09-18,-1,-1,0,0,0
2020-09-19,-1,-1,-1,0,0
2020-09-20,-1,-1,-1,0,0
2020-09-21,-1,-1,-1,-1,-1
2020-09-22,-1,-1,-1,0,0
2020-09-23,-1,-1,-1,0,0
2020-09-24,-1,-1,-1,-1,-1
2020-09-25,-1,-1,-1,-1,-1
2020-09-26,-1,-1,-1,-1,-1
2020-09-27,8,8,-1,0,0
2020-09-28,-1,-1,-1,-1,-1
2020-09-29,-1,-1,5,-1,-1
2020-09-30,-1,-1,4,-1,-1
2020-10-01,6,6,-1,-1,-1
2020-10-02,9,9,-1,0,0
2020-10-03,7,7,7,-1,-1
2020-10-04,-1,-1,10,-1,-1
2020-10-05,-1,-1,6,-1,-1
2020-10-06,6,6,-1,-1,-1
2020-10-07,5,5,5,-1,-1
2020-10-08,5,5,5,-1,-1
2020-10-09,8,8,5,-1,-1
2020-10-10,6,6,5,-1,-1
2020-10-11,6,6,4,5,5
2020-10-12,6,6,8,-1,-1
2020-10-13,6,6,7,-1,-1
2020-10-14,4,4,4,-1,-1
2020-10-15,16,16,6,-1,-1
2020-10-16,21,21,12,-1,-1
2020-10-17,22,22,12,6,6
2020-10-18,13,13,21,-1,-1
2020-10-19,20,20,19,5,5
2020-10-20,19,19,17,7,7
2020-10-21,47,47,18,-1,-1
2020-10-22,34,34,29,-1,-1
2020-10-23,30,30,36,7,7
2020-10-24,32,32,43,6,6
2020-10-25,28,28,29,5,5
2020-10-26,45,45,31,6,6
2020-10-27,60,60,36,10,10
2020-10-28,52,52,43,5,5
2020-10-29,46,46,48,6,6
2020-10-30,41,41,56,8,8
2020-10-31,69,69,48,14,14
2020-11-01,44,44,54,11,11
2020-11-02,54,54,53,9,9
2020-11-03,70,70,55,12,12
2020-11-04,79,79,56,22,22
2020-11-05,94,94,64,27,27
2020-11-06,87,87,76,26,26
2020-11-07,87,87,99,32,32
2020-11-08,56,56,86,33,33
2020-11-09,78,78,77,29,29
2020-11-10,85,85,70,39,39
2020-11-11,100,100,78,31,31
2020-11-12,108,108,81,39,39
2020-11-13,110,110,98,42,42
2020-11-14,77,77,125,46,46
2020-11-15,63,63,101,48,48
2020-11-16,85,85,65,53,53
2020-11-17,98,98,79,58,58
2020-11-18,99,99,79,62,62
2020-11-19,83,83,96,58,58
2020-11-20,69,69,101,57,57
2020-11-21,70,70,81,73,73
2020-11-22,41,41,75,72,72
