data,P_iqo_is_fqo_ai_di_ar_dr_g,p_IQO_is_fqo_ai_di_ar_dr_g,p_iqo_IS_fqo_ai_di_ar_dr_g,p_iqo_is_FQO_ai_di_ar_dr_g,p_iqo_is_fqo_AI_di_ar_dr_g,p_iqo_is_fqo_ai_DI_ar_dr_g,p_iqo_is_fqo_ai_di_AR_dr_g,p_iqo_is_fqo_ai_di_ar_DR_g,p_iqo_is_fqo_ai_di_ar_dr_G
2020-01-01,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0
2020-02-25,-1,-1,0,0,0,0,0,0,0
2020-02-26,-1,-1,-1,0,0,0,0,0,0
2020-02-27,0,0,-1,-1,-1,-1,-1,0,0
2020-02-28,-1,-1,0,0,0,0,0,0,0
2020-02-29,-1,-1,0,0,0,0,0,0,0
2020-03-01,0,0,-1,-1,-1,-1,-1,0,0
2020-03-02,0,0,-1,-1,-1,-1,-1,0,0
2020-03-03,0,0,0,0,0,0,0,-1,-1
2020-03-04,-1,-1,0,0,0,0,0,-1,-1
2020-03-05,0,0,-1,0,0,0,0,0,0
2020-03-06,-1,-1,-1,-1,-1,-1,-1,0,0
2020-03-07,4,4,0,0,0,0,0,0,0
2020-03-08,4,4,0,0,0,0,0,-1,-1
2020-03-09,-1,-1,-1,0,0,0,0,0,0
2020-03-10,-1,-1,8,7,7,-1,-1,0,0
2020-03-11,5,5,-1,-1,-1,-1,-1,0,0
2020-03-12,-1,-1,-1,-1,-1,-1,-1,0,0
2020-03-13,9,9,-1,4,4,-1,-1,-1,-1
2020-03-14,8,8,-1,-1,-1,-1,-1,-1,-1
2020-03-15,-1,-1,9,7,7,-1,-1,-1,-1
2020-03-16,7,7,5,-1,-1,4,4,-1,-1
2020-03-17,8,8,6,6,6,-1,-1,-1,-1
2020-03-18,7,7,5,6,6,4,4,-1,-1
2020-03-19,6,6,12,12,12,7,7,-1,-1
2020-03-20,7,7,4,5,5,5,5,-1,-1
2020-03-21,23,23,6,5,5,-1,-1,-1,-1
2020-03-22,13,13,17,14,14,-1,-1,5,5
2020-03-23,17,17,12,11,11,7,7,5,5
2020-03-24,12,12,18,8,8,7,7,7,7
2020-03-25,7,7,11,13,13,8,8,-1,-1
2020-03-26,6,6,13,15,15,10,10,6,6
2020-03-27,19,19,8,11,11,11,11,4,4
2020-03-28,19,19,13,8,8,11,11,4,4
2020-03-29,13,13,14,10,10,11,11,7,7
2020-03-30,17,17,18,12,12,7,7,8,8
2020-03-31,22,22,13,17,17,11,11,6,6
2020-04-01,20,20,21,15,15,9,9,10,10
2020-04-02,9,9,20,21,21,14,14,17,17
2020-04-03,28,28,16,18,18,14,14,8,8
2020-04-04,21,21,23,17,17,14,14,13,13
2020-04-05,25,25,18,17,17,11,11,10,10
2020-04-06,16,16,22,26,26,13,13,11,11
2020-04-07,15,15,21,16,16,17,17,12,12
2020-04-08,34,34,19,20,20,20,20,6,6
2020-04-09,41,41,25,28,28,15,15,8,8
2020-04-10,50,50,29,25,25,17,17,18,18
2020-04-11,34,34,41,35,35,18,18,7,7
2020-04-12,24,24,51,37,37,27,27,23,23
