data,P_iqo_fqo_g,p_IQO_fqo_g,p_iqo_FQO_g,p_iqo_fqo_G
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,-1,-1,0,0
2020-02-27,-1,-1,0,0
2020-02-28,0,0,0,0
2020-02-29,-1,-1,0,0
2020-03-01,-1,-1,0,0
2020-03-02,0,0,0,0
2020-03-03,6,6,0,0
2020-03-04,10,10,0,0
2020-03-05,8,8,0,0
2020-03-06,17,17,0,0
2020-03-07,99,99,0,0
2020-03-08,25,25,0,0
2020-03-09,27,27,0,0
2020-03-10,34,34,0,0
2020-03-11,46,46,0,0
2020-03-12,56,56,-1,-1
2020-03-13,98,98,-1,-1
2020-03-14,87,87,-1,-1
2020-03-15,57,57,-1,-1
2020-03-16,103,103,0,0
2020-03-17,161,161,-1,-1
2020-03-18,157,157,5,5
2020-03-19,93,93,-1,-1
2020-03-20,129,129,0,0
2020-03-21,166,166,12,12
2020-03-22,172,172,24,24
2020-03-23,163,163,22,22
2020-03-24,114,114,31,31
2020-03-25,163,163,38,38
2020-03-26,132,132,37,37
2020-03-27,215,215,52,52
2020-03-28,163,163,50,50
2020-03-29,155,155,62,62
2020-03-30,132,132,67,67
2020-03-31,187,187,84,84
2020-04-01,167,167,79,79
2020-04-02,179,179,85,85
2020-04-03,123,123,104,104
2020-04-04,145,145,114,114
2020-04-05,183,183,146,146
2020-04-06,103,103,128,128
2020-04-07,109,109,159,159
2020-04-08,179,179,171,171
2020-04-09,169,169,146,146
2020-04-10,166,166,150,150
2020-04-11,183,183,153,153
2020-04-12,109,109,165,165
2020-04-13,75,75,159,159
2020-04-14,83,83,157,157
2020-04-15,135,135,148,148
2020-04-16,186,186,171,171
2020-04-17,128,128,173,173
2020-04-18,161,161,167,167
2020-04-19,66,66,142,142
2020-04-20,99,99,164,164
2020-04-21,183,183,154,154
2020-04-22,113,113,148,148
2020-04-23,159,159,130,130
2020-04-24,157,157,149,149
2020-04-25,104,104,148,148
2020-04-26,84,84,164,164
2020-04-27,69,69,140,140
2020-04-28,103,103,153,153
2020-04-29,115,115,121,121
2020-04-30,141,141,124,124
2020-05-01,58,58,119,119
2020-05-02,61,61,153,153
2020-05-03,40,40,124,124
2020-05-04,49,49,131,131
2020-05-05,45,45,114,114
2020-05-06,71,71,130,130
2020-05-07,72,72,134,134
2020-05-08,40,40,126,126
2020-05-09,51,51,123,123
2020-05-10,35,35,132,132
2020-05-11,25,25,134,134
2020-05-12,39,39,138,138
2020-05-13,50,50,106,106
2020-05-14,39,39,124,124
2020-05-15,30,30,95,95
2020-05-16,20,20,87,87
2020-05-17,7,7,82,82
2020-05-18,27,27,75,75
2020-05-19,21,21,70,70
2020-05-20,28,28,90,90
2020-05-21,27,27,62,62
2020-05-22,17,17,47,47
2020-05-23,31,31,51,51
2020-05-24,13,13,41,41
2020-05-25,9,9,62,62
2020-05-26,15,15,58,58
2020-05-27,21,21,38,38
2020-05-28,21,21,45,45
2020-05-29,15,15,46,46
2020-05-30,16,16,26,26
2020-05-31,7,7,27,27
2020-06-01,24,24,34,34
2020-06-02,-1,-1,25,25
2020-06-03,10,10,30,30
2020-06-04,6,6,26,26
2020-06-05,10,10,25,25
2020-06-06,-1,-1,20,20
2020-06-07,-1,-1,36,36
2020-06-08,6,6,17,17
2020-06-09,6,6,10,10
2020-06-10,13,13,21,21
2020-06-11,10,10,21,21
2020-06-12,5,5,11,11
2020-06-13,8,8,22,22
2020-06-14,-1,-1,16,16
2020-06-15,6,6,17,17
2020-06-16,8,8,14,14
2020-06-17,10,10,10,10
2020-06-18,-1,-1,11,11
2020-06-19,7,7,18,18
2020-06-20,6,6,7,7
2020-06-21,0,0,16,16
2020-06-22,-1,-1,7,7
2020-06-23,13,13,5,5
2020-06-24,4,4,5,5
2020-06-25,5,5,6,6
2020-06-26,7,7,8,8
2020-06-27,-1,-1,6,6
2020-06-28,-1,-1,4,4
2020-06-29,-1,-1,10,10
2020-06-30,5,5,4,4
2020-07-01,4,4,8,8
2020-07-02,7,7,6,6
2020-07-03,4,4,8,8
2020-07-04,-1,-1,4,4
2020-07-05,-1,-1,-1,-1
2020-07-06,-1,-1,4,4
2020-07-07,5,5,10,10
2020-07-08,7,7,9,9
2020-07-09,-1,-1,4,4
2020-07-10,4,4,-1,-1
2020-07-11,-1,-1,5,5
2020-07-12,-1,-1,-1,-1
2020-07-13,-1,-1,6,6
2020-07-14,0,0,6,6
2020-07-15,-1,-1,-1,-1
2020-07-16,-1,-1,-1,-1
2020-07-17,-1,-1,4,4
2020-07-18,0,0,6,6
2020-07-19,-1,-1,4,4
2020-07-20,-1,-1,6,6
2020-07-21,-1,-1,5,5
2020-07-22,-1,-1,4,4
2020-07-23,-1,-1,7,7
2020-07-24,4,4,-1,-1
2020-07-25,4,4,4,4
2020-07-26,-1,-1,-1,-1
2020-07-27,-1,-1,-1,-1
2020-07-28,-1,-1,4,4
2020-07-29,5,5,-1,-1
2020-07-30,76,76,4,4
2020-07-31,5,5,-1,-1
2020-08-01,4,4,0,0
2020-08-02,4,4,0,0
2020-08-03,-1,-1,-1,-1
2020-08-04,6,6,-1,-1
2020-08-05,-1,-1,-1,-1
2020-08-06,8,8,4,4
2020-08-07,-1,-1,-1,-1
2020-08-08,5,5,-1,-1
2020-08-09,-1,-1,-1,-1
2020-08-10,4,4,-1,-1
2020-08-11,6,6,-1,-1
2020-08-12,9,9,4,4
2020-08-13,6,6,10,10
2020-08-14,7,7,19,19
2020-08-15,5,5,9,9
2020-08-16,6,6,17,17
2020-08-17,6,6,9,9
2020-08-18,5,5,17,17
2020-08-19,11,11,16,16
2020-08-20,5,5,6,6
2020-08-21,12,12,-1,-1
2020-08-22,9,9,-1,-1
2020-08-23,-1,-1,4,4
2020-08-24,18,18,7,7
2020-08-25,16,16,5,5
2020-08-26,9,9,-1,-1
2020-08-27,26,26,7,7
2020-08-28,22,22,-1,-1
2020-08-29,11,11,8,8
2020-08-30,6,6,5,5
2020-08-31,16,16,-1,-1
2020-09-01,16,16,11,11
2020-09-02,17,17,4,4
2020-09-03,26,26,10,10
2020-09-04,20,20,4,4
2020-09-05,22,22,7,7
2020-09-06,5,5,4,4
2020-09-07,11,11,12,12
2020-09-08,22,22,8,8
2020-09-09,18,18,10,10
2020-09-10,13,13,13,13
2020-09-11,25,25,12,12
2020-09-12,24,24,12,12
2020-09-13,13,13,14,14
2020-09-14,9,9,20,20
2020-09-15,37,37,13,13
2020-09-16,21,21,21,21
2020-09-17,22,22,20,20
2020-09-18,42,42,12,12
2020-09-19,26,26,18,18
2020-09-20,17,17,21,21
2020-09-21,26,26,16,16
2020-09-22,24,24,20,20
2020-09-23,32,32,10,10
2020-09-24,35,35,17,17
2020-09-25,40,40,12,12
2020-09-26,36,36,18,18
2020-09-27,17,17,15,15
2020-09-28,25,25,25,25
2020-09-29,32,32,19,19
2020-09-30,53,53,27,27
2020-10-01,52,52,16,16
2020-10-02,48,48,24,24
2020-10-03,40,40,18,18
2020-10-04,44,44,33,33
2020-10-05,55,55,21,21
2020-10-06,79,79,24,24
2020-10-07,89,89,28,28
2020-10-08,120,120,26,26
2020-10-09,121,121,31,31
2020-10-10,144,144,29,29
2020-10-11,97,97,20,20
2020-10-12,190,190,26,26
2020-10-13,174,174,39,39
2020-10-14,254,254,39,39
2020-10-15,248,248,35,35
2020-10-16,300,300,35,35
2020-10-17,357,357,32,32
2020-10-18,198,198,46,46
2020-10-19,391,391,42,42
2020-10-20,442,442,57,57
2020-10-21,511,511,50,50
2020-10-22,649,649,58,58
2020-10-23,598,598,69,69
2020-10-24,685,685,76,76
2020-10-25,326,326,102,102
2020-10-26,636,636,130,130
2020-10-27,878,878,131,131
2020-10-28,996,996,142,142
2020-10-29,796,796,170,170
2020-10-30,1011,1011,187,187
2020-10-31,776,776,208,208
2020-11-01,529,529,220,220
2020-11-02,948,948,247,247
2020-11-03,1058,1058,325,325
2020-11-04,1297,1297,343,343
2020-11-05,1338,1338,368,368
2020-11-06,1704,1704,455,455
