data,IQP_fqp,iqp_FQP
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,-1,0
2020-02-10,0,0
2020-02-11,-1,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,-1,0
2020-02-15,0,-1
2020-02-16,-1,0
2020-02-17,-1,0
2020-02-18,0,0
2020-02-19,-1,0
2020-02-20,-1,-1
2020-02-21,-1,-1
2020-02-22,4,-1
2020-02-23,5,-1
2020-02-24,-1,-1
2020-02-25,8,-1
2020-02-26,9,-1
2020-02-27,6,-1
2020-02-28,8,-1
2020-02-29,4,6
2020-03-01,14,-1
2020-03-02,14,6
2020-03-03,11,4
2020-03-04,12,12
2020-03-05,19,9
2020-03-06,10,12
2020-03-07,13,17
2020-03-08,16,14
2020-03-09,19,16
2020-03-10,15,9
2020-03-11,17,12
2020-03-12,22,13
2020-03-13,19,16
2020-03-14,20,18
2020-03-15,22,21
2020-03-16,22,26
2020-03-17,20,14
2020-03-18,13,20
2020-03-19,21,22
2020-03-20,24,18
2020-03-21,20,17
2020-03-22,18,20
2020-03-23,29,29
2020-03-24,16,25
2020-03-25,15,11
2020-03-26,13,24
2020-03-27,28,24
2020-03-28,9,16
2020-03-29,26,23
2020-03-30,16,20
2020-03-31,22,9
2020-04-01,18,21
2020-04-02,14,18
2020-04-03,19,15
2020-04-04,13,17
2020-04-05,20,17
2020-04-06,15,18
2020-04-07,20,13
2020-04-08,16,18
2020-04-09,12,16
2020-04-10,16,21
2020-04-11,14,14
2020-04-12,17,16
2020-04-13,11,13
2020-04-14,13,19
2020-04-15,14,14
2020-04-16,12,18
2020-04-17,-1,16
2020-04-18,9,15
2020-04-19,8,14
2020-04-20,6,12
2020-04-21,10,9
2020-04-22,10,8
2020-04-23,9,12
2020-04-24,4,11
2020-04-25,-1,12
2020-04-26,11,8
2020-04-27,-1,5
2020-04-28,4,8
2020-04-29,-1,5
2020-04-30,5,5
2020-05-01,4,4
2020-05-02,0,4
2020-05-03,0,-1
2020-05-04,5,-1
2020-05-05,-1,-1
2020-05-06,-1,-1
2020-05-07,0,-1
2020-05-08,-1,-1
2020-05-09,-1,-1
2020-05-10,-1,0
2020-05-11,-1,5
2020-05-12,-1,-1
2020-05-13,0,-1
2020-05-14,-1,-1
2020-05-15,-1,-1
2020-05-16,-1,-1
2020-05-17,-1,-1
2020-05-18,-1,5
2020-05-19,-1,0
2020-05-20,0,0
2020-05-21,-1,0
2020-05-22,-1,4
2020-05-23,-1,-1
2020-05-24,0,-1
2020-05-25,-1,-1
2020-05-26,-1,0
2020-05-27,0,-1
2020-05-28,-1,-1
2020-05-29,-1,-1
2020-05-30,-1,0
