data,P_iqo_is_fqo_g,p_IQO_is_fqo_g,p_iqo_IS_fqo_g,p_iqo_is_FQO_g,p_iqo_is_fqo_G
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,-1,-1,0,0,0
2020-03-06,-1,-1,0,0,0
2020-03-07,-1,-1,-1,0,0
2020-03-08,-1,-1,-1,0,0
2020-03-09,-1,-1,0,0,0
2020-03-10,4,4,5,0,0
2020-03-11,-1,-1,-1,0,0
2020-03-12,6,6,4,0,0
2020-03-13,9,9,5,0,0
2020-03-14,-1,-1,5,0,0
2020-03-15,-1,-1,6,0,0
2020-03-16,7,7,8,0,0
2020-03-17,10,10,4,0,0
2020-03-18,9,9,4,0,0
2020-03-19,4,4,10,0,0
2020-03-20,11,11,6,0,0
2020-03-21,11,11,11,-1,-1
2020-03-22,13,13,8,-1,-1
2020-03-23,8,8,12,-1,-1
2020-03-24,9,9,5,-1,-1
2020-03-25,17,17,14,-1,-1
2020-03-26,11,11,13,-1,-1
2020-03-27,16,16,15,4,4
2020-03-28,10,10,12,4,4
2020-03-29,6,6,12,4,4
2020-03-30,10,10,8,4,4
2020-03-31,13,13,8,7,7
2020-04-01,7,7,11,4,4
2020-04-02,7,7,11,7,7
2020-04-03,9,9,11,9,9
2020-04-04,13,13,4,6,6
2020-04-05,11,11,12,7,7
2020-04-06,-1,-1,9,9,9
2020-04-07,5,5,13,8,8
2020-04-08,11,11,-1,5,5
2020-04-09,4,4,9,12,12
2020-04-10,-1,-1,7,16,16
2020-04-11,5,5,4,12,12
2020-04-12,6,6,-1,11,11
2020-04-13,5,5,4,13,13
2020-04-14,-1,-1,8,13,13
2020-04-15,14,14,4,7,7
2020-04-16,-1,-1,9,9,9
2020-04-17,-1,-1,6,16,16
2020-04-18,6,6,5,10,10
2020-04-19,-1,-1,-1,13,13
2020-04-20,6,6,5,5,5
2020-04-21,-1,-1,-1,7,7
2020-04-22,4,4,-1,-1,-1
2020-04-23,6,6,5,6,6
2020-04-24,5,5,8,11,11
2020-04-25,-1,-1,-1,6,6
2020-04-26,-1,-1,5,6,6
2020-04-27,-1,-1,-1,7,7
2020-04-28,-1,-1,0,4,4
2020-04-29,6,6,-1,8,8
2020-04-30,5,5,4,7,7
2020-05-01,-1,-1,6,6,6
2020-05-02,-1,-1,-1,4,4
2020-05-03,4,4,-1,7,7
2020-05-04,0,0,4,-1,-1
2020-05-05,6,6,-1,4,4
2020-05-06,-1,-1,-1,5,5
2020-05-07,-1,-1,-1,-1,-1
2020-05-08,-1,-1,-1,7,7
2020-05-09,-1,-1,-1,4,4
2020-05-10,-1,-1,0,4,4
2020-05-11,0,0,5,5,5
2020-05-12,0,0,0,-1,-1
2020-05-13,-1,-1,0,4,4
2020-05-14,-1,-1,-1,4,4
2020-05-15,0,0,-1,-1,-1
2020-05-16,-1,-1,0,-1,-1
2020-05-17,0,0,-1,6,6
2020-05-18,0,0,-1,-1,-1
2020-05-19,0,0,0,5,5
2020-05-20,-1,-1,0,-1,-1
2020-05-21,0,0,0,0,0
2020-05-22,-1,-1,0,-1,-1
2020-05-23,-1,-1,-1,-1,-1
2020-05-24,0,0,0,5,5
2020-05-25,-1,-1,0,-1,-1
2020-05-26,0,0,-1,-1,-1
2020-05-27,0,0,-1,-1,-1
2020-05-28,-1,-1,-1,-1,-1
2020-05-29,-1,-1,-1,0,0
2020-05-30,-1,-1,-1,-1,-1
2020-05-31,0,0,-1,0,0
2020-06-01,0,0,-1,0,0
2020-06-02,0,0,0,0,0
2020-06-03,-1,-1,0,-1,-1
2020-06-04,-1,-1,0,0,0
2020-06-05,-1,-1,-1,-1,-1
2020-06-06,0,0,-1,0,0
2020-06-07,0,0,0,-1,-1
2020-06-08,0,0,0,-1,-1
2020-06-09,-1,-1,0,-1,-1
2020-06-10,0,0,-1,0,0
2020-06-11,0,0,0,0,0
2020-06-12,0,0,0,-1,-1
2020-06-13,-1,-1,0,-1,-1
2020-06-14,0,0,0,-1,-1
2020-06-15,0,0,0,-1,-1
2020-06-16,-1,-1,-1,0,0
2020-06-17,0,0,0,-1,-1
2020-06-18,0,0,0,0,0
2020-06-19,0,0,-1,-1,-1
2020-06-20,0,0,0,-1,-1
2020-06-21,0,0,0,0,0
2020-06-22,0,0,0,0,0
2020-06-23,0,0,0,0,0
2020-06-24,0,0,0,0,0
2020-06-25,0,0,0,0,0
2020-06-26,0,0,0,-1,-1
2020-06-27,0,0,0,0,0
2020-06-28,0,0,0,0,0
2020-06-29,0,0,0,0,0
2020-06-30,0,0,0,-1,-1
2020-07-01,-1,-1,0,0,0
2020-07-02,0,0,0,0,0
2020-07-03,0,0,-1,-1,-1
2020-07-04,0,0,0,0,0
2020-07-05,0,0,0,0,0
2020-07-06,-1,-1,0,0,0
2020-07-07,-1,-1,0,0,0
2020-07-08,0,0,-1,0,0
2020-07-09,0,0,0,0,0
2020-07-10,0,0,-1,0,0
2020-07-11,0,0,0,0,0
2020-07-12,0,0,0,0,0
2020-07-13,0,0,0,0,0
2020-07-14,0,0,0,0,0
2020-07-15,0,0,0,0,0
2020-07-16,0,0,0,0,0
2020-07-17,0,0,0,0,0
2020-07-18,0,0,0,0,0
2020-07-19,0,0,0,0,0
2020-07-20,0,0,0,0,0
2020-07-21,0,0,0,-1,-1
2020-07-22,0,0,0,0,0
2020-07-23,0,0,0,-1,-1
2020-07-24,0,0,0,0,0
2020-07-25,0,0,0,0,0
2020-07-26,0,0,0,-1,-1
2020-07-27,-1,-1,0,0,0
2020-07-28,0,0,0,0,0
2020-07-29,0,0,-1,0,0
2020-07-30,0,0,0,0,0
2020-07-31,0,0,0,0,0
2020-08-01,-1,-1,0,0,0
2020-08-02,0,0,-1,0,0
2020-08-03,0,0,0,0,0
2020-08-04,0,0,0,0,0
2020-08-05,0,0,0,0,0
2020-08-06,0,0,0,0,0
2020-08-07,-1,-1,0,0,0
2020-08-08,0,0,-1,0,0
2020-08-09,0,0,0,0,0
2020-08-10,-1,-1,0,0,0
2020-08-11,0,0,0,0,0
2020-08-12,0,0,-1,0,0
2020-08-13,-1,-1,0,0,0
2020-08-14,0,0,-1,0,0
2020-08-15,0,0,0,0,0
2020-08-16,0,0,0,-1,-1
2020-08-17,0,0,0,0,0
2020-08-18,0,0,0,-1,-1
2020-08-19,-1,-1,0,0,0
2020-08-20,-1,-1,0,0,0
2020-08-21,0,0,-1,0,0
2020-08-22,0,0,-1,0,0
2020-08-23,0,0,0,0,0
2020-08-24,0,0,0,-1,-1
2020-08-25,-1,-1,0,0,0
2020-08-26,0,0,-1,0,0
2020-08-27,-1,-1,0,0,0
2020-08-28,0,0,-1,-1,-1
2020-08-29,0,0,0,0,0
2020-08-30,0,0,0,0,0
2020-08-31,0,0,0,0,0
2020-09-01,-1,-1,0,-1,-1
2020-09-02,0,0,0,0,0
2020-09-03,0,0,-1,0,0
2020-09-04,-1,-1,0,-1,-1
2020-09-05,-1,-1,-1,0,0
2020-09-06,0,0,0,0,0
2020-09-07,-1,-1,-1,-1,-1
2020-09-08,-1,-1,0,0,0
2020-09-09,-1,-1,0,0,0
2020-09-10,0,0,-1,0,0
2020-09-11,-1,-1,0,0,0
2020-09-12,-1,-1,0,0,0
2020-09-13,0,0,-1,0,0
2020-09-14,-1,-1,-1,-1,-1
2020-09-15,-1,-1,-1,0,0
2020-09-16,0,0,-1,-1,-1
2020-09-17,5,5,-1,-1,-1
2020-09-18,0,0,4,0,0
2020-09-19,-1,-1,-1,0,0
2020-09-20,0,0,-1,0,0
2020-09-21,-1,-1,0,-1,-1
2020-09-22,0,0,-1,-1,-1
2020-09-23,-1,-1,0,0,0
2020-09-24,-1,-1,-1,-1,-1
2020-09-25,0,0,-1,-1,-1
2020-09-26,-1,-1,0,0,0
2020-09-27,0,0,-1,0,0
2020-09-28,0,0,-1,0,0
2020-09-29,0,0,-1,0,0
2020-09-30,0,0,0,0,0
2020-10-01,-1,-1,0,-1,-1
2020-10-02,0,0,-1,-1,-1
2020-10-03,-1,-1,-1,-1,-1
2020-10-04,-1,-1,0,-1,-1
2020-10-05,-1,-1,-1,0,0
2020-10-06,4,4,-1,-1,-1
2020-10-07,-1,-1,6,-1,-1
2020-10-08,8,8,-1,-1,-1
2020-10-09,-1,-1,-1,-1,-1
2020-10-10,6,6,5,-1,-1
2020-10-11,-1,-1,11,-1,-1
2020-10-12,9,9,-1,-1,-1
2020-10-13,5,5,5,-1,-1
2020-10-14,12,12,6,0,0
2020-10-15,6,6,8,0,0
2020-10-16,14,14,12,-1,-1
2020-10-17,12,12,6,-1,-1
2020-10-18,10,10,11,-1,-1
2020-10-19,17,17,13,-1,-1
2020-10-20,21,21,18,-1,-1
2020-10-21,21,21,15,-1,-1
2020-10-22,17,17,18,4,4
2020-10-23,25,25,19,-1,-1
2020-10-24,24,24,25,-1,-1
2020-10-25,20,20,21,6,6
2020-10-26,29,29,24,-1,-1
2020-10-27,24,24,23,5,5
2020-10-28,44,44,29,5,5
2020-10-29,25,25,23,-1,-1
2020-10-30,33,33,36,11,11
2020-10-31,33,33,33,9,9
2020-11-01,25,25,33,8,8
2020-11-02,37,37,34,10,10
2020-11-03,38,38,29,9,9
2020-11-04,49,49,36,11,11
2020-11-05,39,39,33,12,12
2020-11-06,58,58,48,21,21
2020-11-07,39,39,52,21,21
2020-11-08,23,23,37,22,22
2020-11-09,47,47,42,12,12
2020-11-10,39,39,39,23,23
2020-11-11,58,58,42,29,29
2020-11-12,64,64,41,36,36
2020-11-13,65,65,56,37,37
2020-11-14,53,53,66,27,27
2020-11-15,29,29,58,26,26
2020-11-16,49,49,49,29,29
2020-11-17,57,57,35,26,26
2020-11-18,52,52,49,39,39
2020-11-19,49,49,52,40,40
2020-11-20,49,49,59,42,42
2020-11-21,35,35,42,38,38
