data,IS_p_iqo_fqo_g,is_P_iqo_fqo_g,is_p_IQO_fqo_g,is_p_iqo_FQO_g,is_p_iqo_fqo_G
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,-1,-1,-1,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,-1,0,0,0,0
2020-03-06,-1,0,0,0,0
2020-03-07,-1,-1,-1,0,0
2020-03-08,-1,6,6,0,0
2020-03-09,-1,-1,-1,0,0
2020-03-10,6,0,0,0,0
2020-03-11,4,-1,-1,0,0
2020-03-12,5,6,6,0,0
2020-03-13,-1,9,9,0,0
2020-03-14,6,4,4,0,0
2020-03-15,9,-1,-1,-1,-1
2020-03-16,10,6,6,0,0
2020-03-17,7,8,8,0,0
2020-03-18,-1,8,8,0,0
2020-03-19,7,8,8,0,0
2020-03-20,4,-1,-1,0,0
2020-03-21,4,9,9,0,0
2020-03-22,12,6,6,0,0
2020-03-23,7,11,11,-1,-1
2020-03-24,10,5,5,0,0
2020-03-25,12,12,12,-1,-1
2020-03-26,6,5,5,5,5
2020-03-27,8,9,9,-1,-1
2020-03-28,10,9,9,7,7
2020-03-29,14,12,12,-1,-1
2020-03-30,15,9,9,4,4
2020-03-31,11,17,17,4,4
2020-04-01,15,11,11,4,4
2020-04-02,11,13,13,4,4
2020-04-03,12,11,11,8,8
2020-04-04,14,12,12,4,4
2020-04-05,8,17,17,7,7
2020-04-06,18,9,9,11,11
2020-04-07,23,11,11,5,5
2020-04-08,25,24,24,8,8
2020-04-09,27,24,24,5,5
2020-04-10,23,30,30,4,4
2020-04-11,29,30,30,7,7
2020-04-12,19,22,22,11,11
2020-04-13,21,19,19,11,11
2020-04-14,17,18,18,10,10
2020-04-15,23,19,19,12,12
2020-04-16,27,28,28,11,11
2020-04-17,22,20,20,9,9
2020-04-18,11,24,24,12,12
2020-04-19,17,18,18,13,13
2020-04-20,16,20,20,14,14
2020-04-21,16,14,14,13,13
2020-04-22,12,11,11,14,14
2020-04-23,15,14,14,17,17
2020-04-24,12,15,15,10,10
2020-04-25,7,12,12,25,25
2020-04-26,16,8,8,29,29
2020-04-27,9,5,5,22,22
2020-04-28,15,24,24,17,17
2020-04-29,8,13,13,22,22
2020-04-30,11,10,10,22,22
2020-05-01,8,9,9,26,26
2020-05-02,5,7,7,18,18
2020-05-03,-1,-1,-1,27,27
2020-05-04,-1,5,5,16,16
2020-05-05,-1,4,4,16,16
2020-05-06,5,-1,-1,17,17
2020-05-07,7,4,4,18,18
2020-05-08,-1,-1,-1,14,14
2020-05-09,-1,6,6,23,23
2020-05-10,-1,0,0,19,19
2020-05-11,-1,-1,-1,9,9
2020-05-12,-1,-1,-1,10,10
2020-05-13,-1,-1,-1,15,15
2020-05-14,-1,4,4,11,11
2020-05-15,-1,4,4,12,12
2020-05-16,5,-1,-1,14,14
2020-05-17,-1,0,0,5,5
2020-05-18,5,7,7,14,14
2020-05-19,-1,5,5,10,10
2020-05-20,0,0,0,8,8
2020-05-21,-1,-1,-1,-1,-1
2020-05-22,0,0,0,7,7
2020-05-23,-1,-1,-1,-1,-1
2020-05-24,0,0,0,-1,-1
2020-05-25,-1,0,0,4,4
2020-05-26,-1,-1,-1,5,5
2020-05-27,0,0,0,-1,-1
2020-05-28,0,0,0,4,4
2020-05-29,0,0,0,-1,-1
2020-05-30,0,0,0,-1,-1
2020-05-31,-1,0,0,-1,-1
2020-06-01,0,-1,-1,-1,-1
2020-06-02,0,0,0,-1,-1
2020-06-03,-1,0,0,5,5
2020-06-04,-1,4,4,-1,-1
2020-06-05,0,0,0,-1,-1
2020-06-06,0,0,0,5,5
2020-06-07,-1,0,0,-1,-1
2020-06-08,0,0,0,-1,-1
2020-06-09,0,0,0,-1,-1
2020-06-10,0,-1,-1,0,0
2020-06-11,0,0,0,0,0
2020-06-12,-1,0,0,0,0
2020-06-13,0,0,0,0,0
2020-06-14,0,0,0,0,0
2020-06-15,0,-1,-1,-1,-1
2020-06-16,-1,-1,-1,0,0
2020-06-17,0,-1,-1,0,0
2020-06-18,0,0,0,0,0
2020-06-19,0,0,0,0,0
2020-06-20,0,0,0,-1,-1
2020-06-21,-1,0,0,-1,-1
2020-06-22,-1,-1,-1,0,0
2020-06-23,-1,0,0,0,0
2020-06-24,0,-1,-1,0,0
2020-06-25,0,-1,-1,-1,-1
2020-06-26,-1,-1,-1,-1,-1
2020-06-27,-1,-1,-1,0,0
2020-06-28,0,0,0,0,0
2020-06-29,0,0,0,0,0
2020-06-30,0,0,0,-1,-1
2020-07-01,-1,-1,-1,-1,-1
2020-07-02,0,0,0,0,0
2020-07-03,-1,0,0,0,0
2020-07-04,0,-1,-1,0,0
2020-07-05,0,0,0,0,0
2020-07-06,-1,-1,-1,0,0
2020-07-07,0,0,0,-1,-1
2020-07-08,0,0,0,-1,-1
2020-07-09,0,0,0,0,0
2020-07-10,0,0,0,0,0
2020-07-11,0,0,0,-1,-1
2020-07-12,0,0,0,0,0
2020-07-13,0,0,0,0,0
2020-07-14,0,0,0,0,0
2020-07-15,0,0,0,-1,-1
2020-07-16,0,0,0,-1,-1
2020-07-17,0,0,0,0,0
2020-07-18,-1,0,0,-1,-1
2020-07-19,0,0,0,-1,-1
2020-07-20,-1,-1,-1,-1,-1
2020-07-21,0,-1,-1,0,0
2020-07-22,-1,0,0,0,0
2020-07-23,0,0,0,0,0
2020-07-24,0,-1,-1,0,0
2020-07-25,0,0,0,0,0
2020-07-26,0,0,0,0,0
2020-07-27,-1,0,0,0,0
2020-07-28,0,0,0,0,0
2020-07-29,0,0,0,0,0
2020-07-30,0,-1,-1,0,0
2020-07-31,0,0,0,0,0
2020-08-01,0,0,0,0,0
2020-08-02,0,0,0,0,0
2020-08-03,0,0,0,0,0
2020-08-04,0,0,0,-1,-1
2020-08-05,0,0,0,-1,-1
2020-08-06,-1,0,0,0,0
2020-08-07,0,0,0,0,0
2020-08-08,0,-1,-1,0,0
2020-08-09,0,0,0,0,0
2020-08-10,0,0,0,0,0
2020-08-11,0,0,0,-1,-1
2020-08-12,0,0,0,0,0
2020-08-13,0,0,0,0,0
2020-08-14,0,0,0,-1,-1
2020-08-15,0,0,0,0,0
2020-08-16,0,0,0,0,0
2020-08-17,0,0,0,0,0
2020-08-18,0,0,0,0,0
2020-08-19,0,0,0,0,0
2020-08-20,0,0,0,0,0
2020-08-21,0,0,0,0,0
2020-08-22,0,0,0,0,0
2020-08-23,0,0,0,0,0
2020-08-24,-1,0,0,-1,-1
2020-08-25,-1,0,0,0,0
2020-08-26,0,0,0,0,0
2020-08-27,-1,-1,-1,0,0
2020-08-28,-1,-1,-1,0,0
2020-08-29,0,0,0,0,0
2020-08-30,-1,-1,-1,0,0
2020-08-31,0,0,0,0,0
2020-09-01,0,-1,-1,0,0
2020-09-02,0,0,0,0,0
2020-09-03,0,0,0,0,0
2020-09-04,0,0,0,0,0
2020-09-05,0,0,0,0,0
2020-09-06,0,0,0,0,0
2020-09-07,0,0,0,0,0
2020-09-08,0,0,0,0,0
2020-09-09,-1,-1,-1,0,0
2020-09-10,0,-1,-1,0,0
2020-09-11,-1,-1,-1,0,0
2020-09-12,0,0,0,0,0
2020-09-13,0,0,0,-1,-1
2020-09-14,0,0,0,-1,-1
2020-09-15,-1,-1,-1,-1,-1
2020-09-16,0,0,0,0,0
2020-09-17,0,0,0,-1,-1
2020-09-18,0,0,0,0,0
2020-09-19,0,0,0,0,0
2020-09-20,0,0,0,0,0
2020-09-21,-1,0,0,-1,-1
2020-09-22,-1,0,0,0,0
2020-09-23,-1,4,4,0,0
2020-09-24,0,0,0,0,0
2020-09-25,-1,0,0,0,0
2020-09-26,0,0,0,-1,-1
2020-09-27,-1,-1,-1,-1,-1
2020-09-28,0,0,0,0,0
2020-09-29,-1,0,0,-1,-1
2020-09-30,-1,-1,-1,0,0
2020-10-01,6,-1,-1,0,0
2020-10-02,4,8,8,0,0
2020-10-03,-1,-1,-1,0,0
2020-10-04,0,-1,-1,0,0
2020-10-05,-1,-1,-1,0,0
2020-10-06,-1,-1,-1,0,0
2020-10-07,-1,0,0,0,0
2020-10-08,5,-1,-1,0,0
2020-10-09,-1,5,5,0,0
2020-10-10,-1,-1,-1,-1,-1
2020-10-11,-1,0,0,-1,-1
2020-10-12,-1,-1,-1,0,0
2020-10-13,7,-1,-1,-1,-1
2020-10-14,-1,-1,-1,-1,-1
2020-10-15,8,6,6,0,0
2020-10-16,6,6,6,-1,-1
2020-10-17,-1,9,9,-1,-1
2020-10-18,9,-1,-1,-1,-1
2020-10-19,9,6,6,5,5
2020-10-20,12,8,8,-1,-1
2020-10-21,16,17,17,-1,-1
2020-10-22,11,14,14,-1,-1
2020-10-23,21,16,16,0,0
2020-10-24,16,14,14,0,0
2020-10-25,11,11,11,-1,-1
2020-10-26,19,16,16,6,6
2020-10-27,16,18,18,-1,-1
2020-10-28,29,17,17,4,4
2020-10-29,21,28,28,-1,-1
2020-10-30,14,24,24,-1,-1
2020-10-31,15,16,16,4,4
2020-11-01,21,9,9,4,4
2020-11-02,24,21,21,-1,-1
2020-11-03,35,25,25,5,5
2020-11-04,28,27,27,6,6
2020-11-05,44,36,36,8,8
2020-11-06,34,40,40,8,8
2020-11-07,43,40,40,12,12
2020-11-08,41,34,34,11,11
2020-11-09,50,40,40,19,19
2020-11-10,38,32,32,21,21
2020-11-11,46,59,59,11,11
2020-11-12,39,54,54,14,14
2020-11-13,29,37,37,12,12
2020-11-14,30,22,22,20,20
2020-11-15,30,23,23,18,18
2020-11-16,34,34,34,22,22
2020-11-17,27,44,44,20,20
2020-11-18,34,34,34,15,15
2020-11-19,28,30,30,25,25
2020-11-20,36,28,28,26,26
2020-11-21,36,35,35,25,25
2020-11-22,25,20,20,32,32
2020-11-23,32,28,28,36,36
2020-11-24,38,40,40,35,35
2020-11-25,34,39,39,37,37
