data,P_iqo_fqo_g,p_IQO_fqo_g,p_iqo_FQO_g,p_iqo_fqo_G
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,-1,-1,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,-1,-1,0,0
2020-03-03,-1,-1,0,0
2020-03-04,-1,-1,0,0
2020-03-05,-1,-1,0,0
2020-03-06,-1,-1,0,0
2020-03-07,-1,-1,0,0
2020-03-08,4,4,0,0
2020-03-09,-1,-1,0,0
2020-03-10,-1,-1,0,0
2020-03-11,6,6,0,0
2020-03-12,7,7,0,0
2020-03-13,11,11,-1,-1
2020-03-14,8,8,0,0
2020-03-15,4,4,0,0
2020-03-16,6,6,0,0
2020-03-17,9,9,0,0
2020-03-18,10,10,-1,-1
2020-03-19,12,12,0,0
2020-03-20,13,13,-1,-1
2020-03-21,12,12,0,0
2020-03-22,14,14,-1,-1
2020-03-23,16,16,-1,-1
2020-03-24,18,18,6,6
2020-03-25,22,22,-1,-1
2020-03-26,12,12,5,5
2020-03-27,8,8,4,4
2020-03-28,12,12,5,5
2020-03-29,13,13,-1,-1
2020-03-30,8,8,6,6
2020-03-31,12,12,5,5
2020-04-01,10,10,7,7
2020-04-02,13,13,8,8
2020-04-03,5,5,14,14
2020-04-04,8,8,9,9
2020-04-05,18,18,10,10
2020-04-06,5,5,16,16
2020-04-07,8,8,6,6
2020-04-08,17,17,15,15
2020-04-09,7,7,12,12
2020-04-10,16,16,19,19
2020-04-11,15,15,11,11
2020-04-12,9,9,22,22
2020-04-13,7,7,14,14
2020-04-14,6,6,7,7
2020-04-15,15,15,16,16
2020-04-16,11,11,12,12
2020-04-17,9,9,15,15
2020-04-18,12,12,4,4
2020-04-19,-1,-1,10,10
2020-04-20,10,10,12,12
2020-04-21,7,7,13,13
2020-04-22,7,7,6,6
2020-04-23,4,4,7,7
2020-04-24,8,8,11,11
2020-04-25,6,6,10,10
2020-04-26,-1,-1,13,13
2020-04-27,-1,-1,12,12
2020-04-28,10,10,10,10
2020-04-29,7,7,9,9
2020-04-30,7,7,17,17
2020-05-01,4,4,13,13
2020-05-02,4,4,7,7
2020-05-03,0,0,8,8
2020-05-04,5,5,6,6
2020-05-05,-1,-1,15,15
2020-05-06,-1,-1,10,10
2020-05-07,4,4,4,4
2020-05-08,-1,-1,9,9
2020-05-09,4,4,10,10
2020-05-10,-1,-1,-1,-1
2020-05-11,-1,-1,5,5
2020-05-12,-1,-1,5,5
2020-05-13,0,0,6,6
2020-05-14,0,0,6,6
2020-05-15,0,0,4,4
2020-05-16,-1,-1,6,6
2020-05-17,-1,-1,8,8
2020-05-18,-1,-1,4,4
2020-05-19,0,0,6,6
2020-05-20,-1,-1,-1,-1
2020-05-21,-1,-1,4,4
2020-05-22,-1,-1,0,0
2020-05-23,0,0,4,4
2020-05-24,0,0,0,0
2020-05-25,-1,-1,-1,-1
2020-05-26,0,0,-1,-1
2020-05-27,-1,-1,-1,-1
2020-05-28,-1,-1,-1,-1
2020-05-29,-1,-1,-1,-1
2020-05-30,-1,-1,-1,-1
2020-05-31,0,0,0,0
2020-06-01,-1,-1,-1,-1
2020-06-02,0,0,-1,-1
2020-06-03,0,0,-1,-1
2020-06-04,0,0,-1,-1
2020-06-05,-1,-1,0,0
2020-06-06,0,0,-1,-1
2020-06-07,0,0,-1,-1
2020-06-08,0,0,0,0
2020-06-09,0,0,0,0
2020-06-10,0,0,-1,-1
2020-06-11,0,0,-1,-1
2020-06-12,-1,-1,-1,-1
2020-06-13,0,0,0,0
2020-06-14,0,0,-1,-1
2020-06-15,0,0,-1,-1
2020-06-16,-1,-1,-1,-1
2020-06-17,-1,-1,0,0
2020-06-18,0,0,0,0
2020-06-19,0,0,-1,-1
2020-06-20,0,0,-1,-1
2020-06-21,0,0,0,0
2020-06-22,0,0,0,0
2020-06-23,0,0,0,0
2020-06-24,0,0,0,0
2020-06-25,0,0,0,0
2020-06-26,0,0,0,0
2020-06-27,0,0,0,0
2020-06-28,0,0,0,0
2020-06-29,0,0,0,0
2020-06-30,-1,-1,-1,-1
2020-07-01,0,0,0,0
2020-07-02,0,0,-1,-1
2020-07-03,0,0,-1,-1
2020-07-04,0,0,-1,-1
2020-07-05,0,0,0,0
2020-07-06,0,0,0,0
2020-07-07,0,0,0,0
2020-07-08,0,0,-1,-1
2020-07-09,0,0,0,0
2020-07-10,0,0,0,0
2020-07-11,0,0,0,0
2020-07-12,0,0,0,0
2020-07-13,0,0,0,0
2020-07-14,0,0,0,0
2020-07-15,0,0,0,0
2020-07-16,0,0,0,0
2020-07-17,0,0,0,0
2020-07-18,0,0,0,0
2020-07-19,0,0,-1,-1
2020-07-20,0,0,0,0
2020-07-21,0,0,0,0
2020-07-22,0,0,0,0
2020-07-23,0,0,0,0
2020-07-24,0,0,0,0
2020-07-25,0,0,0,0
2020-07-26,0,0,0,0
2020-07-27,0,0,0,0
2020-07-28,0,0,0,0
2020-07-29,0,0,0,0
2020-07-30,0,0,0,0
2020-07-31,0,0,0,0
2020-08-01,0,0,0,0
2020-08-02,-1,-1,0,0
2020-08-03,0,0,0,0
2020-08-04,0,0,0,0
2020-08-05,-1,-1,0,0
2020-08-06,0,0,0,0
2020-08-07,0,0,0,0
2020-08-08,0,0,0,0
2020-08-09,0,0,0,0
2020-08-10,0,0,0,0
2020-08-11,0,0,0,0
2020-08-12,0,0,0,0
2020-08-13,0,0,0,0
2020-08-14,0,0,0,0
2020-08-15,0,0,0,0
2020-08-16,0,0,0,0
2020-08-17,0,0,-1,-1
2020-08-18,0,0,0,0
2020-08-19,-1,-1,0,0
2020-08-20,-1,-1,-1,-1
2020-08-21,0,0,0,0
2020-08-22,-1,-1,0,0
2020-08-23,0,0,0,0
2020-08-24,-1,-1,0,0
2020-08-25,-1,-1,0,0
2020-08-26,0,0,0,0
2020-08-27,0,0,0,0
2020-08-28,-1,-1,0,0
2020-08-29,0,0,0,0
2020-08-30,0,0,0,0
2020-08-31,-1,-1,0,0
2020-09-01,0,0,0,0
2020-09-02,0,0,0,0
2020-09-03,0,0,-1,-1
2020-09-04,0,0,0,0
2020-09-05,0,0,-1,-1
2020-09-06,-1,-1,0,0
2020-09-07,0,0,0,0
2020-09-08,0,0,-1,-1
2020-09-09,-1,-1,0,0
2020-09-10,-1,-1,-1,-1
2020-09-11,-1,-1,-1,-1
2020-09-12,-1,-1,0,0
2020-09-13,-1,-1,0,0
2020-09-14,0,0,0,0
2020-09-15,0,0,-1,-1
2020-09-16,-1,-1,-1,-1
2020-09-17,-1,-1,-1,-1
2020-09-18,0,0,0,0
2020-09-19,0,0,0,0
2020-09-20,-1,-1,0,0
2020-09-21,-1,-1,-1,-1
2020-09-22,-1,-1,0,0
2020-09-23,-1,-1,-1,-1
2020-09-24,-1,-1,0,0
2020-09-25,-1,-1,0,0
2020-09-26,0,0,-1,-1
2020-09-27,0,0,-1,-1
2020-09-28,-1,-1,0,0
2020-09-29,-1,-1,0,0
2020-09-30,4,4,-1,-1
2020-10-01,-1,-1,-1,-1
2020-10-02,7,7,-1,-1
2020-10-03,-1,-1,-1,-1
2020-10-04,-1,-1,0,0
2020-10-05,5,5,0,0
2020-10-06,-1,-1,0,0
2020-10-07,4,4,-1,-1
2020-10-08,-1,-1,-1,-1
2020-10-09,4,4,-1,-1
2020-10-10,-1,-1,0,0
2020-10-11,-1,-1,0,0
2020-10-12,4,4,-1,-1
2020-10-13,8,8,-1,-1
2020-10-14,8,8,0,0
2020-10-15,10,10,-1,-1
2020-10-16,8,8,-1,-1
2020-10-17,7,7,4,4
2020-10-18,11,11,-1,-1
2020-10-19,17,17,4,4
2020-10-20,18,18,-1,-1
2020-10-21,23,23,-1,-1
2020-10-22,25,25,4,4
2020-10-23,22,22,-1,-1
2020-10-24,16,16,-1,-1
2020-10-25,16,16,-1,-1
2020-10-26,31,31,5,5
2020-10-27,28,28,-1,-1
2020-10-28,31,31,-1,-1
