data,P_iqo_is_fqo_g,p_IQO_is_fqo_g,p_iqo_IS_fqo_g,p_iqo_is_FQO_g,p_iqo_is_fqo_G
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,-1,-1,0,0,0
2020-02-28,-1,-1,0,0,0
2020-02-29,0,0,-1,0,0
2020-03-01,0,0,-1,0,0
2020-03-02,0,0,0,0,0
2020-03-03,-1,-1,0,0,0
2020-03-04,-1,-1,0,0,0
2020-03-05,4,4,4,0,0
2020-03-06,5,5,-1,0,0
2020-03-07,10,10,-1,0,0
2020-03-08,6,6,-1,0,0
2020-03-09,-1,-1,17,0,0
2020-03-10,-1,-1,-1,0,0
2020-03-11,11,11,4,0,0
2020-03-12,13,13,-1,0,0
2020-03-13,13,13,9,0,0
2020-03-14,16,16,16,0,0
2020-03-15,9,9,22,-1,-1
2020-03-16,25,25,9,0,0
2020-03-17,24,24,14,0,0
2020-03-18,22,22,21,-1,-1
2020-03-19,25,25,24,-1,-1
2020-03-20,22,22,24,-1,-1
2020-03-21,30,30,17,-1,-1
2020-03-22,28,28,33,-1,-1
2020-03-23,26,26,23,4,4
2020-03-24,25,25,29,-1,-1
2020-03-25,40,40,29,5,5
2020-03-26,14,14,33,14,14
2020-03-27,29,29,23,11,11
2020-03-28,26,26,24,11,11
2020-03-29,13,13,25,8,8
2020-03-30,10,10,23,8,8
2020-03-31,17,17,13,13,13
2020-04-01,13,13,14,16,16
2020-04-02,25,25,13,21,21
2020-04-03,7,7,25,13,13
2020-04-04,12,12,13,27,27
2020-04-05,16,16,12,26,26
2020-04-06,10,10,10,22,22
2020-04-07,11,11,11,23,23
2020-04-08,25,25,12,31,31
2020-04-09,17,17,14,30,30
2020-04-10,27,27,24,30,30
2020-04-11,24,24,17,22,22
2020-04-12,12,12,24,24,24
2020-04-13,10,10,25,23,23
2020-04-14,14,14,12,19,19
2020-04-15,22,22,12,17,17
2020-04-16,24,24,14,20,20
2020-04-17,10,10,25,16,16
2020-04-18,17,17,18,11,11
2020-04-19,7,7,12,22,22
2020-04-20,19,19,16,18,18
2020-04-21,20,20,9,15,15
2020-04-22,12,12,14,10,10
2020-04-23,23,23,21,15,15
2020-04-24,10,10,19,17,17
2020-04-25,7,7,19,11,11
2020-04-26,6,6,11,18,18
2020-04-27,12,12,7,21,21
2020-04-28,27,27,5,14,14
2020-04-29,18,18,14,15,15
2020-04-30,5,5,24,18,18
2020-05-01,10,10,12,24,24
2020-05-02,7,7,14,19,19
2020-05-03,-1,-1,10,17,17
2020-05-04,4,4,-1,21,21
2020-05-05,-1,-1,-1,16,16
2020-05-06,10,10,4,16,16
2020-05-07,5,5,8,11,11
2020-05-08,-1,-1,5,17,17
2020-05-09,4,4,4,14,14
2020-05-10,-1,-1,4,16,16
2020-05-11,-1,-1,-1,11,11
2020-05-12,4,4,-1,16,16
2020-05-13,-1,-1,5,10,10
2020-05-14,4,4,-1,13,13
2020-05-15,-1,-1,5,12,12
2020-05-16,0,0,-1,16,16
2020-05-17,-1,-1,0,9,9
2020-05-18,4,4,0,15,15
2020-05-19,-1,-1,-1,7,7
2020-05-20,-1,-1,-1,5,5
2020-05-21,-1,-1,-1,4,4
2020-05-22,-1,-1,-1,8,8
2020-05-23,0,0,-1,4,4
2020-05-24,0,0,0,4,4
2020-05-25,-1,-1,-1,-1,-1
2020-05-26,-1,-1,0,6,6
2020-05-27,-1,-1,0,-1,-1
2020-05-28,-1,-1,4,6,6
2020-05-29,-1,-1,-1,0,0
2020-05-30,-1,-1,-1,4,4
2020-05-31,-1,-1,-1,-1,-1
2020-06-01,-1,-1,-1,-1,-1
2020-06-02,0,0,-1,-1,-1
2020-06-03,0,0,-1,-1,-1
2020-06-04,-1,-1,-1,-1,-1
2020-06-05,0,0,-1,-1,-1
2020-06-06,0,0,0,-1,-1
2020-06-07,-1,-1,0,-1,-1
2020-06-08,-1,-1,-1,-1,-1
2020-06-09,-1,-1,0,-1,-1
2020-06-10,-1,-1,-1,-1,-1
2020-06-11,-1,-1,-1,-1,-1
2020-06-12,0,0,0,-1,-1
2020-06-13,0,0,-1,-1,-1
2020-06-14,0,0,0,-1,-1
2020-06-15,0,0,0,-1,-1
2020-06-16,0,0,0,0,0
2020-06-17,5,5,0,-1,-1
2020-06-18,-1,-1,-1,-1,-1
2020-06-19,-1,-1,-1,0,0
2020-06-20,-1,-1,0,0,0
2020-06-21,0,0,-1,-1,-1
2020-06-22,0,0,-1,0,0
2020-06-23,0,0,-1,-1,-1
2020-06-24,-1,-1,0,-1,-1
2020-06-25,-1,-1,-1,0,0
2020-06-26,0,0,0,-1,-1
2020-06-27,0,0,-1,0,0
2020-06-28,0,0,0,0,0
2020-06-29,0,0,0,-1,-1
2020-06-30,0,0,0,-1,-1
2020-07-01,0,0,0,0,0
2020-07-02,0,0,0,-1,-1
2020-07-03,0,0,0,-1,-1
2020-07-04,0,0,0,-1,-1
2020-07-05,0,0,0,-1,-1
2020-07-06,-1,-1,0,-1,-1
2020-07-07,0,0,0,-1,-1
2020-07-08,0,0,0,-1,-1
2020-07-09,-1,-1,-1,-1,-1
2020-07-10,0,0,0,0,0
2020-07-11,0,0,-1,0,0
2020-07-12,0,0,0,-1,-1
2020-07-13,0,0,0,0,0
2020-07-14,0,0,0,0,0
2020-07-15,0,0,0,0,0
2020-07-16,-1,-1,0,0,0
2020-07-17,0,0,-1,0,0
2020-07-18,0,0,0,0,0
2020-07-19,0,0,0,0,0
2020-07-20,0,0,0,0,0
2020-07-21,-1,-1,0,-1,-1
2020-07-22,0,0,0,0,0
2020-07-23,-1,-1,-1,0,0
2020-07-24,0,0,-1,0,0
2020-07-25,0,0,0,0,0
2020-07-26,0,0,-1,-1,-1
2020-07-27,-1,-1,0,0,0
2020-07-28,0,0,-1,0,0
2020-07-29,0,0,0,0,0
2020-07-30,0,0,0,0,0
2020-07-31,0,0,0,0,0
2020-08-01,0,0,0,0,0
2020-08-02,0,0,0,-1,-1
2020-08-03,0,0,0,0,0
2020-08-04,-1,-1,0,0,0
2020-08-05,0,0,0,0,0
2020-08-06,0,0,0,0,0
2020-08-07,0,0,-1,-1,-1
2020-08-08,0,0,0,-1,-1
2020-08-09,-1,-1,0,0,0
2020-08-10,0,0,0,0,0
2020-08-11,-1,-1,-1,0,0
2020-08-12,0,0,0,0,0
2020-08-13,0,0,-1,-1,-1
2020-08-14,0,0,0,0,0
2020-08-15,0,0,0,0,0
2020-08-16,0,0,0,0,0
2020-08-17,0,0,0,0,0
2020-08-18,0,0,0,0,0
2020-08-19,0,0,0,0,0
2020-08-20,0,0,0,0,0
2020-08-21,0,0,0,0,0
2020-08-22,-1,-1,0,-1,-1
2020-08-23,0,0,-1,0,0
2020-08-24,0,0,0,-1,-1
2020-08-25,-1,-1,0,0,0
2020-08-26,0,0,0,0,0
2020-08-27,-1,-1,0,0,0
2020-08-28,-1,-1,-1,0,0
2020-08-29,0,0,0,-1,-1
2020-08-30,0,0,-1,0,0
2020-08-31,0,0,0,-1,-1
2020-09-01,-1,-1,0,0,0
2020-09-02,-1,-1,0,0,0
2020-09-03,0,0,0,0,0
2020-09-04,0,0,-1,0,0
2020-09-05,-1,-1,-1,0,0
2020-09-06,-1,-1,0,0,0
2020-09-07,-1,-1,-1,0,0
2020-09-08,-1,-1,-1,0,0
2020-09-09,5,5,-1,-1,-1
2020-09-10,0,0,-1,-1,-1
2020-09-11,-1,-1,5,0,0
2020-09-12,-1,-1,0,0,0
2020-09-13,-1,-1,-1,-1,-1
2020-09-14,0,0,0,0,0
2020-09-15,-1,-1,-1,0,0
2020-09-16,-1,-1,0,0,0
2020-09-17,-1,-1,-1,0,0
2020-09-18,-1,-1,-1,0,0
2020-09-19,-1,-1,-1,-1,-1
2020-09-20,-1,-1,0,-1,-1
2020-09-21,-1,-1,0,-1,-1
2020-09-22,4,4,4,-1,-1
2020-09-23,-1,-1,-1,-1,-1
2020-09-24,-1,-1,-1,-1,-1
2020-09-25,-1,-1,4,-1,-1
2020-09-26,4,4,-1,-1,-1
2020-09-27,-1,-1,-1,0,0
2020-09-28,-1,-1,4,-1,-1
2020-09-29,-1,-1,-1,-1,-1
2020-09-30,6,6,-1,-1,-1
2020-10-01,5,5,-1,-1,-1
2020-10-02,9,9,6,-1,-1
2020-10-03,0,0,8,0,0
2020-10-04,-1,-1,4,-1,-1
2020-10-05,7,7,-1,-1,-1
2020-10-06,-1,-1,7,0,0
2020-10-07,6,6,6,-1,-1
2020-10-08,9,9,5,0,0
2020-10-09,8,8,-1,-1,-1
2020-10-10,-1,-1,10,-1,-1
2020-10-11,7,7,4,-1,-1
2020-10-12,5,5,6,-1,-1
2020-10-13,17,17,8,-1,-1
2020-10-14,13,13,8,4,4
2020-10-15,11,11,12,-1,-1
2020-10-16,18,18,13,0,0
2020-10-17,26,26,13,-1,-1
2020-10-18,11,11,23,-1,-1
2020-10-19,22,22,18,4,4
2020-10-20,35,35,25,6,6
2020-10-21,39,39,23,9,9
2020-10-22,35,35,32,5,5
2020-10-23,43,43,36,8,8
2020-10-24,36,36,31,5,5
2020-10-25,20,20,44,-1,-1
2020-10-26,56,56,35,10,10
2020-10-27,54,54,40,7,7
2020-10-28,58,58,44,-1,-1
2020-10-29,53,53,54,11,11
2020-10-30,56,56,51,16,16
2020-10-31,52,52,61,8,8
2020-11-01,41,41,50,14,14
2020-11-02,71,71,49,13,13
2020-11-03,64,64,47,15,15
2020-11-04,69,69,69,22,22
2020-11-05,80,80,66,18,18
2020-11-06,85,85,74,32,32
2020-11-07,69,69,84,40,40
2020-11-08,43,43,71,32,32
2020-11-09,67,67,72,33,33
2020-11-10,62,62,59,43,43
2020-11-11,85,85,53,36,36
2020-11-12,115,115,70,45,45
2020-11-13,91,91,93,51,51
2020-11-14,74,74,107,47,47
2020-11-15,70,70,79,49,49
2020-11-16,83,83,77,57,57
2020-11-17,74,74,67,57,57
2020-11-18,82,82,86,49,49
2020-11-19,83,83,77,56,56
2020-11-20,75,75,89,58,58
2020-11-21,67,67,85,84,84
