data,P_iqo_fqo_g,p_IQO_fqo_g,p_iqo_FQO_g,p_iqo_fqo_G
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,-1,-1,0,0
2020-02-28,-1,-1,0,0
2020-02-29,-1,-1,0,0
2020-03-01,-1,-1,0,0
2020-03-02,-1,-1,0,0
2020-03-03,-1,-1,0,0
2020-03-04,-1,-1,0,0
2020-03-05,-1,-1,0,0
2020-03-06,7,7,0,0
2020-03-07,13,13,0,0
2020-03-08,11,11,0,0
2020-03-09,14,14,0,0
2020-03-10,15,15,0,0
2020-03-11,28,28,0,0
2020-03-12,22,22,0,0
2020-03-13,45,45,0,0
2020-03-14,43,43,0,0
2020-03-15,29,29,-1,-1
2020-03-16,40,40,-1,-1
2020-03-17,56,56,-1,-1
2020-03-18,63,63,-1,-1
2020-03-19,30,30,-1,-1
2020-03-20,35,35,-1,-1
2020-03-21,46,46,-1,-1
2020-03-22,58,58,-1,-1
2020-03-23,47,47,8,8
2020-03-24,41,41,13,13
2020-03-25,51,51,17,17
2020-03-26,50,50,7,7
2020-03-27,98,98,15,15
2020-03-28,70,70,23,23
2020-03-29,65,65,24,24
2020-03-30,57,57,27,27
2020-03-31,87,87,36,36
2020-04-01,75,75,33,33
2020-04-02,88,88,51,51
2020-04-03,65,65,37,37
2020-04-04,84,84,52,52
2020-04-05,98,98,47,47
2020-04-06,65,65,47,47
2020-04-07,69,69,46,46
2020-04-08,125,125,40,40
2020-04-09,81,81,38,38
2020-04-10,103,103,51,51
2020-04-11,92,92,61,61
2020-04-12,60,60,71,71
2020-04-13,47,47,74,74
2020-04-14,43,43,63,63
2020-04-15,92,92,77,77
2020-04-16,118,118,68,68
2020-04-17,83,83,80,80
2020-04-18,87,87,59,59
2020-04-19,36,36,70,70
2020-04-20,91,91,82,82
2020-04-21,114,114,76,76
2020-04-22,74,74,75,75
2020-04-23,116,116,84,84
2020-04-24,109,109,113,113
2020-04-25,58,58,98,98
2020-04-26,32,32,77,77
2020-04-27,40,40,77,77
2020-04-28,78,78,74,74
2020-04-29,101,101,72,72
2020-04-30,76,76,73,73
2020-05-01,40,40,74,74
2020-05-02,47,47,90,90
2020-05-03,32,32,73,73
2020-05-04,23,23,64,64
2020-05-05,45,45,89,89
2020-05-06,67,67,97,97
2020-05-07,43,43,85,85
2020-05-08,40,40,82,82
2020-05-09,39,39,85,85
2020-05-10,10,10,80,80
2020-05-11,18,18,87,87
2020-05-12,35,35,99,99
2020-05-13,30,30,69,69
2020-05-14,32,32,68,68
2020-05-15,33,33,63,63
2020-05-16,20,20,64,64
2020-05-17,19,19,62,62
2020-05-18,17,17,48,48
2020-05-19,26,26,59,59
2020-05-20,14,14,43,43
2020-05-21,23,23,44,44
2020-05-22,17,17,54,54
2020-05-23,11,11,39,39
2020-05-24,5,5,32,32
2020-05-25,14,14,31,31
2020-05-26,17,17,39,39
2020-05-27,5,5,33,33
2020-05-28,20,20,27,27
2020-05-29,16,16,23,23
2020-05-30,16,16,32,32
2020-05-31,9,9,20,20
2020-06-01,8,8,34,34
2020-06-02,4,4,30,30
2020-06-03,6,6,25,25
2020-06-04,9,9,27,27
2020-06-05,10,10,17,17
2020-06-06,4,4,25,25
2020-06-07,-1,-1,13,13
2020-06-08,6,6,13,13
2020-06-09,5,5,18,18
2020-06-10,9,9,13,13
2020-06-11,6,6,11,11
2020-06-12,4,4,15,15
2020-06-13,4,4,16,16
2020-06-14,-1,-1,13,13
2020-06-15,-1,-1,10,10
2020-06-16,12,12,9,9
2020-06-17,9,9,10,10
2020-06-18,9,9,11,11
2020-06-19,6,6,10,10
2020-06-20,4,4,9,9
2020-06-21,-1,-1,7,7
2020-06-22,-1,-1,7,7
2020-06-23,7,7,5,5
2020-06-24,-1,-1,7,7
2020-06-25,-1,-1,-1,-1
2020-06-26,-1,-1,5,5
2020-06-27,-1,-1,7,7
2020-06-28,0,0,-1,-1
2020-06-29,4,4,10,10
2020-06-30,4,4,4,4
2020-07-01,-1,-1,4,4
2020-07-02,4,4,5,5
2020-07-03,5,5,6,6
2020-07-04,8,8,7,7
2020-07-05,-1,-1,9,9
2020-07-06,-1,-1,6,6
2020-07-07,4,4,-1,-1
2020-07-08,7,7,5,5
2020-07-09,-1,-1,5,5
2020-07-10,-1,-1,-1,-1
2020-07-11,-1,-1,4,4
2020-07-12,4,4,-1,-1
2020-07-13,-1,-1,-1,-1
2020-07-14,4,4,-1,-1
2020-07-15,-1,-1,-1,-1
2020-07-16,7,7,4,4
2020-07-17,-1,-1,-1,-1
2020-07-18,-1,-1,9,9
2020-07-19,0,0,4,4
2020-07-20,-1,-1,-1,-1
2020-07-21,-1,-1,5,5
2020-07-22,-1,-1,5,5
2020-07-23,5,5,4,4
2020-07-24,7,7,-1,-1
2020-07-25,10,10,5,5
2020-07-26,7,7,-1,-1
2020-07-27,-1,-1,-1,-1
2020-07-28,8,8,-1,-1
2020-07-29,4,4,4,4
2020-07-30,23,23,4,4
2020-07-31,11,11,4,4
2020-08-01,8,8,-1,-1
2020-08-02,0,0,-1,-1
2020-08-03,6,6,-1,-1
2020-08-04,13,13,-1,-1
2020-08-05,19,19,-1,-1
2020-08-06,25,25,4,4
2020-08-07,29,29,-1,-1
2020-08-08,32,32,4,4
2020-08-09,6,6,7,7
2020-08-10,18,18,-1,-1
2020-08-11,22,22,5,5
2020-08-12,12,12,6,6
2020-08-13,24,24,10,10
2020-08-14,36,36,12,12
2020-08-15,18,18,10,10
2020-08-16,9,9,7,7
2020-08-17,9,9,6,6
2020-08-18,32,32,5,5
2020-08-19,34,34,12,12
2020-08-20,24,24,8,8
2020-08-21,39,39,15,15
2020-08-22,24,24,21,21
2020-08-23,24,24,16,16
2020-08-24,32,32,26,26
2020-08-25,53,53,22,22
2020-08-26,57,57,19,19
2020-08-27,46,46,21,21
2020-08-28,31,31,17,17
2020-08-29,40,40,23,23
2020-08-30,23,23,16,16
2020-08-31,23,23,18,18
2020-09-01,35,35,17,17
2020-09-02,44,44,21,21
2020-09-03,49,49,22,22
2020-09-04,24,24,23,23
2020-09-05,26,26,25,25
2020-09-06,12,12,27,27
2020-09-07,23,23,32,32
2020-09-08,51,51,21,21
2020-09-09,37,37,36,36
2020-09-10,42,42,43,43
2020-09-11,47,47,35,35
2020-09-12,38,38,50,50
2020-09-13,15,15,40,40
2020-09-14,22,22,39,39
2020-09-15,50,50,35,35
2020-09-16,37,37,33,33
2020-09-17,59,59,35,35
2020-09-18,36,36,37,37
2020-09-19,32,32,36,36
2020-09-20,20,20,29,29
2020-09-21,45,45,25,25
2020-09-22,40,40,35,35
2020-09-23,47,47,34,34
2020-09-24,46,46,29,29
2020-09-25,48,48,37,37
2020-09-26,50,50,39,39
2020-09-27,59,59,20,20
2020-09-28,39,39,33,33
2020-09-29,68,68,44,44
2020-09-30,67,67,32,32
2020-10-01,96,96,34,34
2020-10-02,130,130,31,31
2020-10-03,91,91,47,47
2020-10-04,71,71,35,35
2020-10-05,78,78,39,39
2020-10-06,126,126,39,39
2020-10-07,199,199,41,41
2020-10-08,200,200,46,46
2020-10-09,204,204,32,32
2020-10-10,258,258,46,46
2020-10-11,157,157,38,38
2020-10-12,263,263,52,52
2020-10-13,306,306,46,46
2020-10-14,478,478,49,49
2020-10-15,431,431,50,50
2020-10-16,534,534,72,72
2020-10-17,529,529,81,81
2020-10-18,343,343,61,61
2020-10-19,571,571,91,91
2020-10-20,586,586,102,102
2020-10-21,639,639,103,103
2020-10-22,859,859,129,129
2020-10-23,844,844,140,140
2020-10-24,841,841,159,159
2020-10-25,500,500,168,168
2020-10-26,823,823,174,174
2020-10-27,1025,1025,198,198
2020-10-28,1205,1205,253,253
2020-10-29,923,923,269,269
2020-10-30,1208,1208,342,342
2020-10-31,1090,1090,361,361
2020-11-01,707,707,354,354
2020-11-02,1001,1001,455,455
2020-11-03,1162,1162,444,444
2020-11-04,1523,1523,509,509
2020-11-05,1313,1313,576,576
2020-11-06,1709,1709,651,651
