data,IQP_fqp,iqp_FQP
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,-1,-1
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,-1,0
2020-02-19,-1,0
2020-02-20,-1,0
2020-02-21,-1,0
2020-02-22,-1,-1
2020-02-23,-1,0
2020-02-24,5,-1
2020-02-25,7,-1
2020-02-26,4,-1
2020-02-27,-1,-1
2020-02-28,6,-1
2020-02-29,10,-1
2020-03-01,8,-1
2020-03-02,12,4
2020-03-03,10,-1
2020-03-04,8,4
2020-03-05,18,5
2020-03-06,12,10
2020-03-07,13,7
2020-03-08,16,15
2020-03-09,12,16
2020-03-10,17,13
2020-03-11,10,19
2020-03-12,19,13
2020-03-13,16,13
2020-03-14,12,18
2020-03-15,16,9
2020-03-16,12,12
2020-03-17,17,15
2020-03-18,16,9
2020-03-19,25,17
2020-03-20,15,13
2020-03-21,23,25
2020-03-22,26,14
2020-03-23,22,23
2020-03-24,23,22
2020-03-25,18,19
2020-03-26,23,27
2020-03-27,20,16
2020-03-28,26,14
2020-03-29,21,24
2020-03-30,20,18
2020-03-31,24,25
2020-04-01,30,24
2020-04-02,21,24
2020-04-03,23,26
2020-04-04,25,25
2020-04-05,22,25
2020-04-06,23,23
2020-04-07,27,25
2020-04-08,18,20
2020-04-09,30,17
2020-04-10,27,27
2020-04-11,27,31
2020-04-12,24,26
2020-04-13,23,23
2020-04-14,28,26
2020-04-15,22,21
2020-04-16,13,24
2020-04-17,28,25
2020-04-18,17,19
2020-04-19,22,20
2020-04-20,13,24
2020-04-21,9,22
2020-04-22,13,25
2020-04-23,12,15
2020-04-24,11,16
2020-04-25,11,12
2020-04-26,16,19
2020-04-27,9,17
2020-04-28,6,13
2020-04-29,9,16
2020-04-30,12,5
2020-05-01,9,13
2020-05-02,10,12
2020-05-03,11,17
2020-05-04,8,6
2020-05-05,10,11
2020-05-06,7,21
2020-05-07,-1,5
2020-05-08,6,-1
2020-05-09,4,5
2020-05-10,7,8
2020-05-11,8,6
2020-05-12,-1,9
2020-05-13,-1,-1
2020-05-14,5,6
2020-05-15,9,6
2020-05-16,-1,4
2020-05-17,-1,6
2020-05-18,4,4
2020-05-19,0,-1
2020-05-20,4,-1
2020-05-21,-1,-1
2020-05-22,4,-1
2020-05-23,6,-1
2020-05-24,-1,10
2020-05-25,4,4
2020-05-26,4,7
2020-05-27,0,-1
2020-05-28,-1,-1
2020-05-29,-1,-1
2020-05-30,-1,0
2020-05-31,-1,-1
2020-06-01,4,-1
