data,P_iqo_is_fqo_g,p_IQO_is_fqo_g,p_iqo_IS_fqo_g,p_iqo_is_FQO_g,p_iqo_is_fqo_G
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,-1,-1,0,0,0
2020-03-05,0,0,-1,0,0
2020-03-06,0,0,0,0,0
2020-03-07,-1,-1,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,-1,-1,0,0,0
2020-03-10,-1,-1,-1,0,0
2020-03-11,-1,-1,0,0,0
2020-03-12,0,0,-1,0,0
2020-03-13,-1,-1,-1,0,0
2020-03-14,4,4,-1,0,0
2020-03-15,-1,-1,4,0,0
2020-03-16,7,7,-1,0,0
2020-03-17,11,11,-1,0,0
2020-03-18,5,5,8,0,0
2020-03-19,-1,-1,9,-1,-1
2020-03-20,5,5,7,0,0
2020-03-21,10,10,4,0,0
2020-03-22,6,6,7,0,0
2020-03-23,-1,-1,9,-1,-1
2020-03-24,13,13,5,-1,-1
2020-03-25,6,6,6,-1,-1
2020-03-26,13,13,6,0,0
2020-03-27,13,13,12,-1,-1
2020-03-28,10,10,11,-1,-1
2020-03-29,7,7,15,-1,-1
2020-03-30,13,13,7,-1,-1
2020-03-31,6,6,8,-1,-1
2020-04-01,11,11,10,5,5
2020-04-02,7,7,9,-1,-1
2020-04-03,8,8,8,5,5
2020-04-04,10,10,10,9,9
2020-04-05,11,11,8,6,6
2020-04-06,-1,-1,9,8,8
2020-04-07,10,10,10,8,8
2020-04-08,9,9,8,7,7
2020-04-09,8,8,8,-1,-1
2020-04-10,6,6,8,11,11
2020-04-11,8,8,9,9,9
2020-04-12,7,7,5,15,15
2020-04-13,-1,-1,7,11,11
2020-04-14,4,4,6,8,8
2020-04-15,8,8,-1,7,7
2020-04-16,7,7,7,9,9
2020-04-17,8,8,6,4,4
2020-04-18,8,8,9,12,12
2020-04-19,-1,-1,7,14,14
2020-04-20,5,5,7,-1,-1
2020-04-21,8,8,-1,9,9
2020-04-22,8,8,7,10,10
2020-04-23,9,9,9,7,7
2020-04-24,10,10,8,13,13
2020-04-25,7,7,9,9,9
2020-04-26,-1,-1,10,5,5
2020-04-27,-1,-1,-1,-1,-1
2020-04-28,5,5,-1,7,7
2020-04-29,-1,-1,6,9,9
2020-04-30,5,5,4,6,6
2020-05-01,4,4,5,15,15
2020-05-02,-1,-1,-1,-1,-1
2020-05-03,-1,-1,5,-1,-1
2020-05-04,-1,-1,0,5,5
2020-05-05,-1,-1,-1,6,6
2020-05-06,4,4,-1,7,7
2020-05-07,-1,-1,-1,6,6
2020-05-08,0,0,-1,8,8
2020-05-09,5,5,-1,8,8
2020-05-10,-1,-1,-1,-1,-1
2020-05-11,4,4,-1,5,5
2020-05-12,-1,-1,4,8,8
2020-05-13,4,4,0,4,4
2020-05-14,6,6,5,11,11
2020-05-15,-1,-1,5,6,6
2020-05-16,-1,-1,-1,4,4
2020-05-17,-1,-1,-1,4,4
2020-05-18,-1,-1,-1,6,6
2020-05-19,0,0,-1,-1,-1
2020-05-20,0,0,-1,-1,-1
2020-05-21,-1,-1,0,-1,-1
2020-05-22,0,0,0,0,0
2020-05-23,-1,-1,-1,-1,-1
2020-05-24,-1,-1,-1,-1,-1
2020-05-25,-1,-1,-1,-1,-1
2020-05-26,-1,-1,-1,4,4
2020-05-27,-1,-1,0,5,5
2020-05-28,-1,-1,0,-1,-1
2020-05-29,0,0,-1,6,6
2020-05-30,0,0,-1,0,0
2020-05-31,-1,-1,0,-1,-1
2020-06-01,-1,-1,0,-1,-1
2020-06-02,0,0,-1,-1,-1
2020-06-03,-1,-1,-1,4,4
2020-06-04,0,0,-1,-1,-1
2020-06-05,-1,-1,-1,-1,-1
2020-06-06,0,0,-1,-1,-1
2020-06-07,0,0,-1,-1,-1
2020-06-08,0,0,0,-1,-1
2020-06-09,-1,-1,0,-1,-1
2020-06-10,-1,-1,-1,-1,-1
2020-06-11,-1,-1,-1,0,0
2020-06-12,0,0,-1,-1,-1
2020-06-13,0,0,0,0,0
2020-06-14,-1,-1,0,-1,-1
2020-06-15,0,0,0,-1,-1
2020-06-16,0,0,0,-1,-1
2020-06-17,0,0,-1,-1,-1
2020-06-18,-1,-1,0,-1,-1
2020-06-19,0,0,-1,0,0
2020-06-20,0,0,0,-1,-1
2020-06-21,0,0,0,-1,-1
2020-06-22,-1,-1,0,-1,-1
2020-06-23,-1,-1,0,0,0
2020-06-24,0,0,0,0,0
2020-06-25,0,0,-1,0,0
2020-06-26,0,0,0,-1,-1
2020-06-27,0,0,0,-1,-1
2020-06-28,0,0,0,-1,-1
2020-06-29,0,0,0,0,0
2020-06-30,0,0,0,-1,-1
2020-07-01,0,0,0,0,0
2020-07-02,-1,-1,0,0,0
2020-07-03,0,0,0,-1,-1
2020-07-04,0,0,-1,0,0
2020-07-05,0,0,0,0,0
2020-07-06,0,0,0,0,0
2020-07-07,0,0,0,0,0
2020-07-08,0,0,0,-1,-1
2020-07-09,0,0,0,-1,-1
2020-07-10,0,0,0,0,0
2020-07-11,0,0,0,0,0
2020-07-12,0,0,0,0,0
2020-07-13,0,0,0,0,0
2020-07-14,0,0,0,0,0
2020-07-15,0,0,0,0,0
2020-07-16,0,0,0,0,0
2020-07-17,0,0,0,-1,-1
2020-07-18,0,0,0,0,0
2020-07-19,-1,-1,0,0,0
2020-07-20,0,0,0,0,0
2020-07-21,0,0,-1,0,0
2020-07-22,-1,-1,0,0,0
2020-07-23,0,0,0,0,0
2020-07-24,0,0,0,0,0
2020-07-25,0,0,-1,0,0
2020-07-26,0,0,0,0,0
2020-07-27,0,0,0,0,0
2020-07-28,0,0,0,0,0
2020-07-29,-1,-1,0,0,0
2020-07-30,0,0,-1,0,0
2020-07-31,0,0,0,0,0
2020-08-01,0,0,0,0,0
2020-08-02,0,0,0,0,0
2020-08-03,-1,-1,0,-1,-1
2020-08-04,-1,-1,0,0,0
2020-08-05,0,0,0,0,0
2020-08-06,-1,-1,-1,0,0
2020-08-07,0,0,-1,-1,-1
2020-08-08,0,0,0,0,0
2020-08-09,0,0,-1,0,0
2020-08-10,0,0,0,-1,-1
2020-08-11,0,0,0,0,0
2020-08-12,0,0,0,0,0
2020-08-13,0,0,0,0,0
2020-08-14,0,0,0,0,0
2020-08-15,0,0,0,0,0
2020-08-16,0,0,0,0,0
2020-08-17,0,0,0,0,0
2020-08-18,0,0,0,-1,-1
2020-08-19,0,0,0,-1,-1
2020-08-20,0,0,0,0,0
2020-08-21,0,0,0,0,0
2020-08-22,-1,-1,0,0,0
2020-08-23,0,0,0,0,0
2020-08-24,0,0,-1,0,0
2020-08-25,-1,-1,0,-1,-1
2020-08-26,-1,-1,-1,0,0
2020-08-27,4,4,-1,0,0
2020-08-28,-1,-1,-1,0,0
2020-08-29,-1,-1,-1,0,0
2020-08-30,0,0,-1,0,0
2020-08-31,0,0,-1,0,0
2020-09-01,0,0,0,0,0
2020-09-02,-1,-1,0,0,0
2020-09-03,5,5,-1,0,0
2020-09-04,0,0,-1,0,0
2020-09-05,-1,-1,-1,0,0
2020-09-06,-1,-1,-1,0,0
2020-09-07,0,0,0,0,0
2020-09-08,-1,-1,-1,-1,-1
2020-09-09,0,0,0,0,0
2020-09-10,-1,-1,-1,-1,-1
2020-09-11,-1,-1,0,0,0
2020-09-12,-1,-1,-1,0,0
2020-09-13,0,0,-1,-1,-1
2020-09-14,0,0,-1,-1,-1
2020-09-15,0,0,0,-1,-1
2020-09-16,0,0,0,-1,-1
2020-09-17,-1,-1,0,-1,-1
2020-09-18,-1,-1,0,4,4
2020-09-19,0,0,-1,0,0
2020-09-20,-1,-1,-1,-1,-1
2020-09-21,-1,-1,0,-1,-1
2020-09-22,0,0,0,-1,-1
2020-09-23,4,4,-1,-1,-1
2020-09-24,5,5,-1,-1,-1
2020-09-25,-1,-1,5,0,0
2020-09-26,-1,-1,4,-1,-1
2020-09-27,-1,-1,-1,0,0
2020-09-28,0,0,-1,-1,-1
2020-09-29,0,0,0,-1,-1
2020-09-30,-1,-1,-1,-1,-1
2020-10-01,-1,-1,-1,-1,-1
2020-10-02,0,0,-1,0,0
2020-10-03,-1,-1,0,-1,-1
2020-10-04,-1,-1,-1,-1,-1
2020-10-05,-1,-1,-1,-1,-1
2020-10-06,-1,-1,-1,-1,-1
2020-10-07,11,11,-1,-1,-1
2020-10-08,7,7,4,0,0
2020-10-09,-1,-1,6,-1,-1
2020-10-10,4,4,9,-1,-1
2020-10-11,4,4,7,-1,-1
2020-10-12,10,10,-1,-1,-1
2020-10-13,8,8,7,-1,-1
2020-10-14,14,14,4,-1,-1
2020-10-15,17,17,15,-1,-1
2020-10-16,15,15,13,0,0
2020-10-17,12,12,17,-1,-1
2020-10-18,6,6,14,-1,-1
2020-10-19,11,11,11,0,0
2020-10-20,21,21,4,-1,-1
2020-10-21,26,26,15,-1,-1
2020-10-22,30,30,22,4,4
2020-10-23,20,20,26,4,4
2020-10-24,32,32,30,-1,-1
2020-10-25,19,19,26,-1,-1
2020-10-26,24,24,26,8,8
2020-10-27,46,46,19,4,4
2020-10-28,40,40,34,5,5
2020-10-29,48,48,31,10,10
2020-10-30,56,56,45,14,14
2020-10-31,44,44,65,10,10
2020-11-01,33,33,42,11,11
2020-11-02,41,41,40,5,5
2020-11-03,60,60,37,16,16
2020-11-04,67,67,49,18,18
2020-11-05,54,54,62,13,13
2020-11-06,89,89,56,20,20
2020-11-07,68,68,64,11,11
2020-11-08,30,30,81,31,31
2020-11-09,58,58,59,22,22
2020-11-10,55,55,39,25,25
2020-11-11,64,64,66,26,26
2020-11-12,82,82,50,32,32
2020-11-13,81,81,71,32,32
2020-11-14,59,59,74,39,39
2020-11-15,35,35,71,51,51
2020-11-16,56,56,57,41,41
2020-11-17,81,81,45,47,47
2020-11-18,71,71,69,53,53
2020-11-19,52,52,82,57,57
