data,IS_p_iqo_fqo_g,is_P_iqo_fqo_g,is_p_IQO_fqo_g,is_p_iqo_FQO_g,is_p_iqo_fqo_G
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,-1,0,0,0,0
2020-02-27,-1,-1,-1,0,0
2020-02-28,0,-1,-1,0,0
2020-02-29,0,0,0,0,0
2020-03-01,-1,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,-1,-1,0,0
2020-03-04,-1,-1,-1,0,0
2020-03-05,5,-1,-1,0,0
2020-03-06,5,6,6,0,0
2020-03-07,5,-1,-1,0,0
2020-03-08,5,-1,-1,0,0
2020-03-09,4,6,6,0,0
2020-03-10,8,4,4,0,0
2020-03-11,9,5,5,0,0
2020-03-12,8,10,10,0,0
2020-03-13,14,9,9,0,0
2020-03-14,16,16,16,-1,-1
2020-03-15,9,6,6,0,0
2020-03-16,17,17,17,-1,-1
2020-03-17,10,11,11,0,0
2020-03-18,16,14,14,0,0
2020-03-19,24,25,25,0,0
2020-03-20,20,14,14,0,0
2020-03-21,21,30,30,-1,-1
2020-03-22,20,17,17,-1,-1
2020-03-23,18,18,18,6,6
2020-03-24,20,14,14,4,4
2020-03-25,23,27,27,4,4
2020-03-26,14,13,13,-1,-1
2020-03-27,10,14,14,8,8
2020-03-28,14,20,20,6,6
2020-03-29,7,10,10,7,7
2020-03-30,17,8,8,-1,-1
2020-03-31,18,15,15,17,17
2020-04-01,12,10,10,10,10
2020-04-02,15,26,26,14,14
2020-04-03,17,14,14,13,13
2020-04-04,17,19,19,14,14
2020-04-05,6,15,15,20,20
2020-04-06,12,6,6,18,18
2020-04-07,15,7,7,26,26
2020-04-08,20,15,15,12,12
2020-04-09,21,16,16,22,22
2020-04-10,13,25,25,17,17
2020-04-11,9,16,16,16,16
2020-04-12,9,12,12,18,18
2020-04-13,9,4,4,15,15
2020-04-14,19,13,13,18,18
2020-04-15,9,12,12,11,11
2020-04-16,12,15,15,15,15
2020-04-17,10,5,5,22,22
2020-04-18,20,18,18,17,17
2020-04-19,11,13,13,7,7
2020-04-20,8,13,13,13,13
2020-04-21,15,10,10,15,15
2020-04-22,11,10,10,8,8
2020-04-23,11,18,18,19,19
2020-04-24,9,15,15,12,12
2020-04-25,6,6,6,19,19
2020-04-26,9,5,5,13,13
2020-04-27,10,5,5,13,13
2020-04-28,7,16,16,10,10
2020-04-29,8,7,7,18,18
2020-04-30,-1,5,5,11,11
2020-05-01,6,5,5,13,13
2020-05-02,-1,4,4,9,9
2020-05-03,-1,-1,-1,7,7
2020-05-04,-1,4,4,15,15
2020-05-05,5,-1,-1,13,13
2020-05-06,-1,-1,-1,10,10
2020-05-07,-1,0,0,16,16
2020-05-08,-1,-1,-1,6,6
2020-05-09,-1,-1,-1,10,10
2020-05-10,-1,-1,-1,23,23
2020-05-11,4,-1,-1,10,10
2020-05-12,-1,-1,-1,11,11
2020-05-13,-1,4,4,12,12
2020-05-14,-1,4,4,6,6
2020-05-15,-1,0,0,12,12
2020-05-16,0,0,0,6,6
2020-05-17,0,-1,-1,8,8
2020-05-18,-1,-1,-1,5,5
2020-05-19,-1,-1,-1,4,4
2020-05-20,-1,0,0,-1,-1
2020-05-21,-1,-1,-1,5,5
2020-05-22,-1,-1,-1,4,4
2020-05-23,-1,-1,-1,-1,-1
2020-05-24,-1,0,0,4,4
2020-05-25,4,4,4,0,0
2020-05-26,0,-1,-1,0,0
2020-05-27,0,-1,-1,-1,-1
2020-05-28,0,-1,-1,5,5
2020-05-29,-1,-1,-1,-1,-1
2020-05-30,0,0,0,-1,-1
2020-05-31,-1,0,0,0,0
2020-06-01,0,-1,-1,-1,-1
2020-06-02,-1,0,0,-1,-1
2020-06-03,-1,-1,-1,-1,-1
2020-06-04,0,-1,-1,-1,-1
2020-06-05,0,0,0,-1,-1
2020-06-06,0,0,0,-1,-1
2020-06-07,-1,0,0,-1,-1
2020-06-08,0,0,0,0,0
2020-06-09,-1,0,0,-1,-1
2020-06-10,-1,-1,-1,-1,-1
2020-06-11,0,-1,-1,-1,-1
2020-06-12,0,0,0,-1,-1
2020-06-13,0,-1,-1,-1,-1
2020-06-14,-1,0,0,-1,-1
2020-06-15,-1,0,0,0,0
2020-06-16,0,-1,-1,0,0
2020-06-17,-1,-1,-1,-1,-1
2020-06-18,0,0,0,0,0
2020-06-19,0,0,0,0,0
2020-06-20,-1,-1,-1,0,0
2020-06-21,0,0,0,-1,-1
2020-06-22,0,0,0,0,0
2020-06-23,0,0,0,-1,-1
2020-06-24,-1,0,0,0,0
2020-06-25,0,0,0,0,0
2020-06-26,0,0,0,0,0
2020-06-27,-1,-1,-1,0,0
2020-06-28,0,0,0,-1,-1
2020-06-29,0,0,0,-1,-1
2020-06-30,0,0,0,0,0
2020-07-01,0,0,0,0,0
2020-07-02,0,0,0,-1,-1
2020-07-03,-1,0,0,0,0
2020-07-04,0,0,0,0,0
2020-07-05,0,0,0,0,0
2020-07-06,0,-1,-1,0,0
2020-07-07,-1,-1,-1,-1,-1
2020-07-08,0,0,0,0,0
2020-07-09,0,0,0,0,0
2020-07-10,0,0,0,-1,-1
2020-07-11,0,0,0,-1,-1
2020-07-12,0,0,0,0,0
2020-07-13,-1,-1,-1,-1,-1
2020-07-14,-1,-1,-1,0,0
2020-07-15,-1,0,0,0,0
2020-07-16,0,-1,-1,-1,-1
2020-07-17,0,0,0,0,0
2020-07-18,0,0,0,0,0
2020-07-19,0,0,0,0,0
2020-07-20,-1,-1,-1,0,0
2020-07-21,-1,0,0,0,0
2020-07-22,-1,-1,-1,-1,-1
2020-07-23,0,0,0,0,0
2020-07-24,0,0,0,-1,-1
2020-07-25,0,-1,-1,0,0
2020-07-26,0,0,0,0,0
2020-07-27,-1,-1,-1,0,0
2020-07-28,0,0,0,0,0
2020-07-29,0,0,0,0,0
2020-07-30,0,0,0,0,0
2020-07-31,0,0,0,-1,-1
2020-08-01,0,0,0,0,0
2020-08-02,0,0,0,0,0
2020-08-03,0,0,0,0,0
2020-08-04,0,0,0,-1,-1
2020-08-05,0,0,0,-1,-1
2020-08-06,0,0,0,0,0
2020-08-07,0,0,0,0,0
2020-08-08,0,0,0,-1,-1
2020-08-09,0,0,0,-1,-1
2020-08-10,0,0,0,0,0
2020-08-11,0,0,0,0,0
2020-08-12,-1,0,0,0,0
2020-08-13,0,0,0,-1,-1
2020-08-14,0,-1,-1,-1,-1
2020-08-15,0,0,0,0,0
2020-08-16,0,0,0,0,0
2020-08-17,-1,-1,-1,0,0
2020-08-18,0,0,0,0,0
2020-08-19,0,0,0,0,0
2020-08-20,0,0,0,0,0
2020-08-21,0,0,0,0,0
2020-08-22,0,0,0,0,0
2020-08-23,0,0,0,0,0
2020-08-24,0,0,0,0,0
2020-08-25,-1,0,0,0,0
2020-08-26,0,0,0,0,0
2020-08-27,0,0,0,0,0
2020-08-28,-1,-1,-1,0,0
2020-08-29,0,0,0,0,0
2020-08-30,0,0,0,0,0
2020-08-31,0,0,0,-1,-1
2020-09-01,-1,0,0,0,0
2020-09-02,-1,-1,-1,-1,-1
2020-09-03,-1,-1,-1,0,0
2020-09-04,-1,-1,-1,0,0
2020-09-05,0,0,0,0,0
2020-09-06,0,-1,-1,0,0
2020-09-07,4,-1,-1,0,0
2020-09-08,-1,-1,-1,0,0
2020-09-09,-1,-1,-1,0,0
2020-09-10,0,-1,-1,0,0
2020-09-11,-1,-1,-1,0,0
2020-09-12,0,-1,-1,0,0
2020-09-13,0,0,0,0,0
2020-09-14,-1,0,0,-1,-1
2020-09-15,-1,-1,-1,0,0
2020-09-16,-1,-1,-1,0,0
2020-09-17,-1,0,0,-1,-1
2020-09-18,0,-1,-1,-1,-1
2020-09-19,-1,-1,-1,-1,-1
2020-09-20,0,0,0,0,0
2020-09-21,0,0,0,0,0
2020-09-22,-1,-1,-1,-1,-1
2020-09-23,-1,-1,-1,-1,-1
2020-09-24,-1,-1,-1,0,0
2020-09-25,4,-1,-1,-1,-1
2020-09-26,-1,-1,-1,-1,-1
2020-09-27,-1,-1,-1,-1,-1
2020-09-28,-1,0,0,-1,-1
2020-09-29,-1,-1,-1,0,0
2020-09-30,-1,-1,-1,-1,-1
2020-10-01,-1,-1,-1,0,0
2020-10-02,-1,-1,-1,-1,-1
2020-10-03,-1,-1,-1,-1,-1
2020-10-04,-1,0,0,-1,-1
2020-10-05,-1,4,4,0,0
2020-10-06,5,-1,-1,0,0
2020-10-07,4,4,4,0,0
2020-10-08,9,7,7,0,0
2020-10-09,5,6,6,-1,-1
2020-10-10,4,4,4,4,4
2020-10-11,9,5,5,0,0
2020-10-12,7,6,6,-1,-1
2020-10-13,-1,7,7,-1,-1
2020-10-14,15,10,10,0,0
2020-10-15,8,6,6,-1,-1
2020-10-16,14,16,16,-1,-1
2020-10-17,18,12,12,4,4
2020-10-18,24,10,10,-1,-1
2020-10-19,18,23,23,0,0
2020-10-20,18,19,19,-1,-1
2020-10-21,27,21,21,4,4
2020-10-22,23,26,26,4,4
2020-10-23,20,24,24,5,5
2020-10-24,25,29,29,-1,-1
2020-10-25,30,13,13,6,6
2020-10-26,46,25,25,6,6
2020-10-27,46,54,54,-1,-1
2020-10-28,32,40,40,6,6
2020-10-29,40,32,32,8,8
2020-10-30,42,45,45,8,8
2020-10-31,37,37,37,12,12
2020-11-01,39,27,27,12,12
2020-11-02,52,53,53,9,9
2020-11-03,57,48,48,8,8
2020-11-04,60,50,50,10,10
2020-11-05,65,62,62,17,17
2020-11-06,38,66,66,18,18
2020-11-07,50,49,49,17,17
2020-11-08,53,38,38,22,22
2020-11-09,71,63,63,23,23
2020-11-10,57,51,51,29,29
2020-11-11,78,69,69,23,23
2020-11-12,74,84,84,47,47
2020-11-13,64,64,64,23,23
2020-11-14,56,63,63,27,27
2020-11-15,53,50,50,38,38
2020-11-16,71,74,74,41,41
2020-11-17,74,65,65,48,48
2020-11-18,57,70,70,34,34
2020-11-19,65,73,73,38,38
2020-11-20,43,53,53,56,56
2020-11-21,40,59,59,48,48
2020-11-22,35,24,24,55,55
