data,P_iqo_is_fqo_d,p_IQO_is_fqo_d,p_iqo_IS_fqo_d,p_iqo_is_FQO_d,p_iqo_is_fqo_D
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,-1,-1,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,-1,-1,0,0,0
2020-03-08,0,0,-1,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,-1,-1,0,0,0
2020-03-12,-1,-1,-1,0,0
2020-03-13,-1,-1,-1,0,0
2020-03-14,-1,-1,-1,0,0
2020-03-15,-1,-1,-1,0,0
2020-03-16,0,0,-1,0,0
2020-03-17,5,5,0,0,0
2020-03-18,4,4,-1,0,0
2020-03-19,4,4,-1,0,0
2020-03-20,4,4,6,-1,-1
2020-03-21,-1,-1,-1,0,0
2020-03-22,8,8,-1,-1,-1
2020-03-23,4,4,4,0,0
2020-03-24,4,4,4,0,0
2020-03-25,7,7,5,0,0
2020-03-26,-1,-1,6,0,0
2020-03-27,7,7,4,-1,-1
2020-03-28,-1,-1,10,0,0
2020-03-29,6,6,-1,0,0
2020-03-30,8,8,5,-1,-1
2020-03-31,5,5,4,-1,-1
2020-04-01,7,7,8,-1,-1
2020-04-02,4,4,7,-1,-1
2020-04-03,-1,-1,5,-1,-1
2020-04-04,8,8,-1,-1,-1
2020-04-05,6,6,6,-1,-1
2020-04-06,5,5,7,-1,-1
2020-04-07,-1,-1,-1,5,5
2020-04-08,9,9,5,5,5
2020-04-09,15,15,7,-1,-1
2020-04-10,16,16,5,4,4
2020-04-11,7,7,19,11,11
2020-04-12,9,9,13,6,6
2020-04-13,6,6,7,-1,-1
2020-04-14,9,9,8,6,6
2020-04-15,12,12,9,9,9
2020-04-16,18,18,11,8,8
2020-04-17,8,8,15,-1,-1
2020-04-18,19,19,11,-1,-1
2020-04-19,5,5,19,7,7
2020-04-20,12,12,7,-1,-1
2020-04-21,-1,-1,10,7,7
2020-04-22,9,9,4,5,5
2020-04-23,8,8,6,-1,-1
2020-04-24,4,4,6,8,8
2020-04-25,-1,-1,8,14,14
2020-04-26,-1,-1,6,14,14
2020-04-27,-1,-1,-1,4,4
2020-04-28,6,6,0,7,7
2020-04-29,4,4,4,7,7
2020-04-30,6,6,4,11,11
2020-05-01,5,5,-1,13,13
2020-05-02,-1,-1,9,13,13
2020-05-03,-1,-1,-1,9,9
2020-05-04,0,0,6,14,14
2020-05-05,-1,-1,0,7,7
2020-05-06,-1,-1,-1,12,12
2020-05-07,-1,-1,0,14,14
2020-05-08,0,0,-1,5,5
2020-05-09,-1,-1,-1,5,5
2020-05-10,-1,-1,-1,6,6
2020-05-11,-1,-1,-1,5,5
2020-05-12,-1,-1,-1,-1,-1
2020-05-13,0,0,-1,9,9
2020-05-14,5,5,0,-1,-1
2020-05-15,0,0,-1,-1,-1
2020-05-16,0,0,-1,-1,-1
2020-05-17,0,0,0,5,5
2020-05-18,-1,-1,0,5,5
2020-05-19,-1,-1,0,-1,-1
2020-05-20,0,0,-1,4,4
2020-05-21,-1,-1,-1,5,5
2020-05-22,0,0,-1,0,0
2020-05-23,-1,-1,0,-1,-1
2020-05-24,0,0,-1,-1,-1
2020-05-25,0,0,0,-1,-1
2020-05-26,0,0,0,-1,-1
2020-05-27,0,0,0,5,5
2020-05-28,-1,-1,0,-1,-1
2020-05-29,0,0,-1,0,0
2020-05-30,0,0,-1,0,0
2020-05-31,-1,-1,0,-1,-1
2020-06-01,0,0,0,-1,-1
2020-06-02,0,0,-1,0,0
2020-06-03,0,0,0,-1,-1
2020-06-04,-1,-1,0,-1,-1
2020-06-05,-1,-1,-1,-1,-1
2020-06-06,0,0,-1,0,0
2020-06-07,0,0,0,-1,-1
2020-06-08,0,0,0,0,0
2020-06-09,0,0,0,0,0
2020-06-10,0,0,0,-1,-1
2020-06-11,0,0,0,0,0
2020-06-12,0,0,0,-1,-1
2020-06-13,0,0,0,0,0
2020-06-14,0,0,0,0,0
2020-06-15,0,0,0,-1,-1
2020-06-16,-1,-1,0,0,0
2020-06-17,0,0,0,0,0
2020-06-18,0,0,-1,-1,-1
2020-06-19,-1,-1,0,0,0
2020-06-20,0,0,-1,-1,-1
2020-06-21,0,0,0,-1,-1
2020-06-22,0,0,0,0,0
2020-06-23,0,0,0,0,0
2020-06-24,0,0,0,0,0
2020-06-25,0,0,0,0,0
2020-06-26,-1,-1,0,0,0
2020-06-27,0,0,0,0,0
2020-06-28,0,0,-1,0,0
2020-06-29,0,0,0,0,0
2020-06-30,0,0,0,0,0
2020-07-01,0,0,0,0,0
2020-07-02,0,0,0,0,0
2020-07-03,-1,-1,0,-1,-1
2020-07-04,0,0,0,-1,-1
2020-07-05,0,0,-1,0,0
2020-07-06,0,0,0,0,0
2020-07-07,0,0,0,0,0
2020-07-08,0,0,0,0,0
2020-07-09,0,0,0,0,0
2020-07-10,0,0,0,0,0
2020-07-11,0,0,0,0,0
2020-07-12,0,0,0,0,0
2020-07-13,0,0,0,0,0
2020-07-14,0,0,0,0,0
2020-07-15,0,0,0,-1,-1
2020-07-16,0,0,0,0,0
2020-07-17,0,0,0,0,0
2020-07-18,0,0,0,0,0
2020-07-19,-1,-1,0,0,0
2020-07-20,0,0,0,0,0
2020-07-21,0,0,0,-1,-1
2020-07-22,0,0,-1,0,0
2020-07-23,0,0,0,0,0
2020-07-24,0,0,0,0,0
2020-07-25,0,0,0,0,0
2020-07-26,0,0,0,0,0
2020-07-27,0,0,0,0,0
2020-07-28,0,0,0,0,0
2020-07-29,0,0,0,0,0
2020-07-30,0,0,0,0,0
2020-07-31,0,0,0,0,0
2020-08-01,0,0,0,0,0
2020-08-02,0,0,0,0,0
2020-08-03,0,0,0,0,0
2020-08-04,0,0,0,0,0
2020-08-05,0,0,0,0,0
2020-08-06,0,0,0,0,0
2020-08-07,0,0,0,0,0
2020-08-08,0,0,0,-1,-1
2020-08-09,0,0,0,0,0
2020-08-10,0,0,0,0,0
2020-08-11,0,0,0,0,0
2020-08-12,0,0,0,0,0
2020-08-13,0,0,0,0,0
2020-08-14,0,0,0,0,0
2020-08-15,0,0,0,0,0
2020-08-16,0,0,0,0,0
2020-08-17,0,0,0,0,0
2020-08-18,0,0,0,0,0
2020-08-19,-1,-1,0,0,0
2020-08-20,0,0,0,0,0
2020-08-21,0,0,-1,0,0
2020-08-22,0,0,0,0,0
2020-08-23,0,0,0,0,0
2020-08-24,0,0,0,0,0
2020-08-25,0,0,0,0,0
2020-08-26,0,0,0,0,0
2020-08-27,0,0,0,0,0
2020-08-28,0,0,0,0,0
2020-08-29,0,0,0,0,0
2020-08-30,0,0,0,0,0
2020-08-31,0,0,0,0,0
2020-09-01,0,0,0,0,0
2020-09-02,0,0,0,0,0
2020-09-03,0,0,0,0,0
2020-09-04,0,0,0,0,0
2020-09-05,0,0,0,-1,-1
2020-09-06,0,0,0,0,0
2020-09-07,0,0,0,0,0
2020-09-08,0,0,0,0,0
2020-09-09,0,0,0,0,0
2020-09-10,0,0,0,0,0
2020-09-11,-1,-1,0,0,0
2020-09-12,0,0,0,0,0
2020-09-13,0,0,-1,0,0
2020-09-14,0,0,0,0,0
2020-09-15,0,0,0,0,0
2020-09-16,-1,-1,0,0,0
2020-09-17,0,0,0,0,0
2020-09-18,0,0,-1,0,0
2020-09-19,0,0,0,0,0
2020-09-20,0,0,0,0,0
2020-09-21,0,0,0,0,0
2020-09-22,0,0,0,0,0
2020-09-23,0,0,0,0,0
2020-09-24,0,0,0,0,0
2020-09-25,0,0,0,0,0
2020-09-26,0,0,0,0,0
2020-09-27,0,0,0,0,0
2020-09-28,0,0,0,0,0
2020-09-29,0,0,0,0,0
2020-09-30,0,0,0,-1,-1
2020-10-01,-1,-1,0,0,0
2020-10-02,-1,-1,-1,0,0
2020-10-03,-1,-1,-1,0,0
2020-10-04,0,0,-1,-1,-1
2020-10-05,-1,-1,0,0,0
2020-10-06,-1,-1,0,0,0
2020-10-07,-1,-1,-1,0,0
2020-10-08,-1,-1,-1,0,0
2020-10-09,-1,-1,0,0,0
2020-10-10,0,0,-1,0,0
2020-10-11,-1,-1,-1,0,0
2020-10-12,-1,-1,0,0,0
2020-10-13,-1,-1,-1,0,0
2020-10-14,0,0,0,0,0
2020-10-15,-1,-1,-1,0,0
2020-10-16,-1,-1,0,-1,-1
2020-10-17,-1,-1,-1,0,0
2020-10-18,-1,-1,-1,0,0
2020-10-19,5,5,5,0,0
2020-10-20,-1,-1,-1,-1,-1
2020-10-21,7,7,4,-1,-1
2020-10-22,6,6,7,-1,-1
2020-10-23,7,7,5,-1,-1
2020-10-24,7,7,7,0,0
2020-10-25,8,8,5,-1,-1
2020-10-26,4,4,9,-1,-1
2020-10-27,8,8,6,-1,-1
2020-10-28,6,6,4,-1,-1
2020-10-29,12,12,9,0,0
2020-10-30,6,6,13,0,0
2020-10-31,8,8,-1,0,0
2020-11-01,5,5,7,4,4
2020-11-02,8,8,6,-1,-1
2020-11-03,14,14,10,-1,-1
2020-11-04,15,15,9,-1,-1
2020-11-05,15,15,12,5,5
2020-11-06,17,17,17,6,6
2020-11-07,10,10,15,-1,-1
2020-11-08,13,13,12,-1,-1
2020-11-09,21,21,12,7,7
2020-11-10,11,11,18,8,8
2020-11-11,25,25,14,8,8
2020-11-12,18,18,17,6,6
2020-11-13,23,23,16,16,16
2020-11-14,11,11,26,9,9
2020-11-15,14,14,21,7,7
2020-11-16,12,12,7,6,6
2020-11-17,8,8,21,6,6
2020-11-18,17,17,10,5,5
2020-11-19,18,18,10,6,6
2020-11-20,17,17,16,9,9
2020-11-21,10,10,21,16,16
2020-11-22,7,7,10,18,18
2020-11-23,11,11,12,14,14
2020-11-24,14,14,5,10,10
2020-11-25,15,15,13,11,11
2020-11-26,7,7,14,17,17
